wall_s,command,belt_pos,pose_x,running,stop_active,reset_required,present,link_ok
0.04,0.0,0.0,,False,False,True,False,True
1.16,0.0,0.0,-1.0,False,False,False,False,True
2.27,0.15000000596046448,0.1506,-0.8537,True,False,False,False,True
10.53,0.0,1.383,0.3763,True,False,False,True,True
22.04,0.0,0.0417,-0.9583,False,False,False,False,True
25.7,0.15000000596046448,0.5751,-0.4241,True,False,False,False,True
25.81,0.0,0.5901,-0.4097,False,True,True,False,True
27.32,0.0,0.5904,-0.4096,False,True,True,False,True
28.43,0.0,0.5904,-0.4096,False,False,False,False,True
30.44,0.0,0.5904,-0.4096,False,False,False,False,True
