event,name,clock,t_start_ns,t_end_ns,interval_ns,value,note
startup,configured_signal_set,-,,,,forklift+warning,"configured signal set: forklift+warning — forklift 4in/3out/5diag (opcua-nodes.md §10), warning 1in/0out/0diag (opcua-nodes.md §13); 5 input slots, 3 output slots, 5 diagnostics, 14 nodes touched, write allowlist 6 keys; silence rule: ForkliftWarningFieldOccupied asserts True after 0.500s of silence (opcua-nodes.md §13.2 W1)"
session,session_timeout_ms,-,,,,10000.0,granted; requested 10000 (granted as requested)
session,secure_channel_lifetime_ms,-,,,,3600000.0,granted; requested 3600000
session,keepalive_period_s,-,,,,3.3333,derived from the granted timeout / 3 (§3.2 S3)
session,namespace_index:server_interfaces,-,,,,2,http://www.siemens.com/simatic-s7-opcua
session,namespace_index:interface,-,,,,3,http://DemoCell
session,connect,-,,,,,opc.tcp://172.19.176.1:4841
read_rt,ForkliftTractionSpeedRef,monotonic,399688758345941,399688759449026,1103085,0.0,
L5,cmd_traction_speed,monotonic,399688759449026,399688759535195,86169,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399688759540111,399688760538929,998818,0.0,
L5,cmd_steer_angle,monotonic,399688760538929,399688760632789,93860,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399688760640142,399688761684747,1044605,0.0,
L5,cmd_fork_speed,monotonic,399688761684747,399688761744217,59470,0.0,
session,input_image_rewritten,-,,,,0/5,"written in one cycle; configured set forklift+warning; R1 withheld ForkliftForkHeight,ForkliftLinearSpeed,ForkliftObstacleInStopZone,ForkliftObstacleMinDistance,ForkliftWarningFieldOccupied"
diagnostics,Status/*,-,,,,"{'ForkliftTeleopActive': False, 'ForkliftObstacleStopActive': False, 'ForkliftSpeedLimitActive': False, 'ForkliftResetRequired': True, 'HmiLinkOk': False}",
R1,cycle,monotonic,399688758337410,399688808894235,50556825,,
read_rt,ForkliftTractionSpeedRef,monotonic,399688808963174,399688810494879,1531705,0.0,
L5,cmd_traction_speed,monotonic,399688810494879,399688810596217,101338,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399688810599918,399688811698151,1098233,0.0,
L5,cmd_steer_angle,monotonic,399688811698151,399688811761963,63812,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399688811765662,399688812907612,1141950,0.0,
L5,cmd_fork_speed,monotonic,399688812907612,399688812975867,68255,0.0,
R1,cycle,monotonic,399688808894235,399688859219133,50324898,,
read_rt,ForkliftTractionSpeedRef,monotonic,399688859234770,399688860600724,1365954,0.0,
L5,cmd_traction_speed,monotonic,399688860600724,399688860680519,79795,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399688860685052,399688861525648,840596,0.0,
L5,cmd_steer_angle,monotonic,399688861525648,399688861563515,37867,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399688861565929,399688862296667,730738,0.0,
L5,cmd_fork_speed,monotonic,399688862296667,399688862328152,31485,0.0,
R1,cycle,monotonic,399688859219133,399688908516268,49297135,,
read_rt,ForkliftTractionSpeedRef,monotonic,399688908527037,399688910093556,1566519,0.0,
L5,cmd_traction_speed,monotonic,399688910093556,399688910175672,82116,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399688910181392,399688911067139,885747,0.0,
L5,cmd_steer_angle,monotonic,399688911067139,399688911102930,35791,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399688911105288,399688911828866,723578,0.0,
L5,cmd_fork_speed,monotonic,399688911828866,399688911865880,37014,0.0,
R1,cycle,monotonic,399688908516268,399688959089024,50572756,,
read_rt,ForkliftTractionSpeedRef,monotonic,399688959102612,399688960344120,1241508,0.0,
L5,cmd_traction_speed,monotonic,399688960344120,399688960406699,62579,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399688960411162,399688961390600,979438,0.0,
L5,cmd_steer_angle,monotonic,399688961390600,399688961443704,53104,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399688961447649,399688962306490,858841,0.0,
L5,cmd_fork_speed,monotonic,399688962306490,399688962370710,64220,0.0,
R1,cycle,monotonic,399688959089024,399689008653849,49564825,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689008664266,399689009893172,1228906,0.0,
L5,cmd_traction_speed,monotonic,399689009893172,399689009975597,82425,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689009981466,399689011115362,1133896,0.0,
L5,cmd_steer_angle,monotonic,399689011115362,399689011162616,47254,0.0,
read_rt,ForkliftForkSpeedRef,monotonic,399689011166291,399689011866900,700609,0.0,
L5,cmd_fork_speed,monotonic,399689011866900,399689011905451,38551,0.0,
R1,cycle,monotonic,399689008653849,399689059127661,50473812,,
read_rt,ForkliftTractionSpeedRef,monotonic,399689059143706,399689060285542,1141836,0.0,
L5,cmd_traction_speed,monotonic,399689060285542,399689060409608,124066,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399689060416628,399689061276008,859380,0.0,
