event,name,clock,t_start_ns,t_end_ns,interval_ns,value,note
startup,configured_signal_set,-,,,,forklift+warning,"configured signal set: forklift+warning — forklift 4in/3out/5diag (opcua-nodes.md §10), warning 1in/0out/0diag (opcua-nodes.md §13); 5 input slots, 3 output slots, 5 diagnostics, 14 nodes touched, write allowlist 6 keys; silence rule: ForkliftWarningFieldOccupied asserts True after 0.500s of silence (opcua-nodes.md §13.2 W1)"
session,session_timeout_ms,-,,,,10000.0,granted; requested 10000 (granted as requested)
session,secure_channel_lifetime_ms,-,,,,3600000.0,granted; requested 3600000
session,keepalive_period_s,-,,,,3.3333,derived from the granted timeout / 3 (§3.2 S3)
session,namespace_index:server_interfaces,-,,,,2,http://www.siemens.com/simatic-s7-opcua
session,namespace_index:interface,-,,,,3,http://DemoCell
session,connect,-,,,,,opc.tcp://172.19.176.1:4841
L1cs,ForkliftObstacleMinDistance,monotonic,399833848993103,399833877195082,28201979,0.0,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftObstacleMinDistance,monotonic,399833881428754,399833882895459,1466705,0.0,
L3,ForkliftObstacleMinDistance,monotonic,399833848993103,399833882895459,33902356,0.0,
R2,ForkliftObstacleMinDistance,monotonic,399833830624326,399833881428754,50804428,,
L1,ForkliftWarningFieldOccupied,monotonic,399833855912687,399833882917267,27004580,False,
L1cs,ForkliftWarningFieldOccupied,monotonic,399833855912687,399833877195082,21282395,False,"literal §9.2 reference point; may be negative, not clipped"
L2,ForkliftWarningFieldOccupied,monotonic,399833882929254,399833884127746,1198492,False,
L3,ForkliftWarningFieldOccupied,monotonic,399833855912687,399833884127746,28215059,False,
R1,cycle,monotonic,399833877195082,399833926825155,49630073,,
read_rt,ForkliftTractionSpeedRef,monotonic,399833926835168,399833927994005,1158837,0.0,
L5,cmd_traction_speed,monotonic,399833927994005,399833928136557,142552,0.0,
read_rt,ForkliftSteerAngleRef,monotonic,399833928141527,399833928993089,851562,0.0,
