t_s,link_up,reading_a_mmps,seq_a,a_advanced,seq_a_frozen_s,reading_b_mmps,seq_b,b_advanced,seq_b_frozen_s,motion_present,motion_valid,mot_silence_s
0.000,0,0,0,0,,0,0,0,,1,0,
0.052,0,0,0,0,,0,0,0,,1,0,
0.101,0,0,0,0,,0,0,0,,1,0,
0.150,0,0,0,0,,0,0,0,,1,0,
0.202,0,0,0,0,,0,0,0,,1,0,
0.251,0,0,0,0,,0,0,0,,1,0,
0.300,0,0,0,0,,0,0,0,,1,0,
0.351,0,0,0,0,,0,0,0,,1,0,
0.402,0,0,0,0,,0,0,0,,1,0,
0.452,0,0,0,0,,0,0,0,,1,0,
0.500,0,0,0,0,,0,0,0,,1,0,
0.550,0,0,0,0,,0,0,0,,1,0,
0.602,0,0,0,0,,0,0,0,,1,0,
0.651,0,0,0,0,,0,0,0,,1,0,
0.701,0,0,0,0,,0,0,0,,1,0,
0.751,0,0,0,0,,0,0,0,,1,0,
0.802,0,0,0,0,,0,0,0,,1,0,
0.850,0,0,0,0,,0,0,0,,1,0,
0.902,0,0,0,0,,0,0,0,,1,0,
0.950,0,0,0,0,,0,0,0,,1,0,
1.001,0,0,0,0,,0,0,0,,1,0,
1.050,0,0,0,0,,0,0,0,,1,0,
1.102,0,0,0,0,,0,0,0,,1,0,
1.152,0,0,0,0,,0,0,0,,1,0,
1.201,0,0,0,0,,0,0,0,,1,0,
1.250,0,0,0,0,,0,0,0,,1,0,
1.301,0,0,0,0,,0,0,0,,1,0,
1.350,0,0,0,0,,0,0,0,,1,0,
1.401,1,0,0,0,,0,0,0,,1,0,
1.452,1,0,0,0,,0,0,0,,1,0,
1.501,1,0,0,0,,0,0,0,,1,0,
1.551,1,0,0,0,,0,0,0,,1,0,
1.601,1,0,0,0,,0,0,0,,1,0,
1.651,1,0,0,0,,0,0,0,,1,0,
1.702,1,0,0,0,,0,0,0,,1,0,
1.751,1,0,0,0,,0,0,0,,1,0,
1.802,1,0,0,0,,0,0,0,,1,0,
1.851,1,0,0,0,,0,0,0,,1,0,
1.902,1,0,0,0,,0,0,0,,1,0,
1.951,1,0,0,0,,0,0,0,,1,0,
2.001,1,0,0,0,,0,0,0,,1,0,
2.051,1,0,0,0,,0,0,0,,1,0,
2.101,1,0,0,0,,0,0,0,,1,0,
2.150,1,0,0,0,,0,0,0,,1,0,
2.202,1,0,0,0,,0,0,0,,1,0,
2.252,1,0,0,0,,0,0,0,,1,0,
2.302,1,0,0,0,,0,0,0,,1,0,
2.351,1,0,0,0,,0,0,0,,1,0,
2.401,1,0,0,0,,0,0,0,,1,0,
2.451,1,0,0,0,,0,0,0,,1,0,
2.500,1,0,0,0,,0,0,0,,1,0,
2.552,1,0,0,0,,0,0,0,,1,0,
2.601,1,0,0,0,,0,0,0,,1,0,
2.652,1,0,0,0,,0,0,0,,1,0,
2.701,1,0,0,0,,0,0,0,,1,0,
2.751,1,0,0,0,,0,0,0,,1,0,
2.802,1,0,0,0,,0,0,0,,1,0,
2.852,1,0,0,0,,0,0,0,,1,0,
2.902,1,0,0,0,,0,0,0,,1,0,
2.951,1,0,0,0,,0,0,0,,1,0,
3.001,1,0,0,0,,0,0,0,,1,0,
3.050,1,0,0,0,,0,0,0,,1,0,
3.101,1,0,0,0,,0,0,0,,1,0,
3.151,1,0,0,0,,0,0,0,,1,0,
3.200,1,0,0,0,,0,0,0,,1,0,
