t_s,link_up,reading_a_mmps,seq_a,a_advanced,seq_a_frozen_s,reading_b_mmps,seq_b,b_advanced,seq_b_frozen_s,motion_present,motion_valid,mot_silence_s
0.000,0,0,0,0,,0,0,0,,1,0,
0.052,0,0,0,0,,0,0,0,,1,0,
0.102,0,0,0,0,,0,0,0,,1,0,
0.151,0,0,0,0,,0,0,0,,1,0,
0.200,0,0,0,0,,0,0,0,,1,0,
0.252,0,0,0,0,,0,0,0,,1,0,
0.301,0,0,0,0,,0,0,0,,1,0,
0.350,0,0,0,0,,0,0,0,,1,0,
0.402,0,0,0,0,,0,0,0,,1,0,
0.451,0,0,0,0,,0,0,0,,1,0,
0.500,0,0,0,0,,0,0,0,,1,0,
0.552,0,0,0,0,,0,0,0,,1,0,
0.600,0,0,0,0,,0,0,0,,1,0,
0.651,0,0,0,0,,0,0,0,,1,0,
0.701,0,0,0,0,,0,0,0,,1,0,
0.750,0,0,0,0,,0,0,0,,1,0,
0.802,0,0,0,0,,0,0,0,,1,0,
0.851,0,0,0,0,,0,0,0,,1,0,
0.901,0,0,0,0,,0,0,0,,1,0,
0.952,0,0,0,0,,0,0,0,,1,0,
1.001,0,0,0,0,,0,0,0,,1,0,
1.051,0,0,0,0,,0,0,0,,1,0,
1.101,0,0,0,0,,0,0,0,,1,0,
1.150,0,0,0,0,,0,0,0,,1,0,
1.202,0,0,0,0,,0,0,0,,1,0,
1.250,0,0,0,0,,0,0,0,,1,0,
1.300,0,0,0,0,,0,0,0,,1,0,
1.350,0,0,0,0,,0,0,0,,1,0,
1.400,0,0,0,0,,0,0,0,,1,0,
1.451,0,0,0,0,,0,0,0,,1,0,
1.500,0,0,0,0,,0,0,0,,1,0,
1.552,0,0,0,0,,0,0,0,,1,0,
1.601,0,0,0,0,,0,0,0,,1,0,
1.651,0,0,0,0,,0,0,0,,1,0,
1.701,0,0,0,0,,0,0,0,,1,0,
1.752,0,0,0,0,,0,0,0,,1,0,
1.801,0,0,0,0,,0,0,0,,1,0,
1.852,0,0,0,0,,0,0,0,,1,0,
1.901,0,0,0,0,,0,0,0,,1,0,
1.952,0,0,0,0,,0,0,0,,1,0,
2.001,0,0,0,0,,0,0,0,,1,0,
2.052,0,0,0,0,,0,0,0,,1,0,
2.101,0,0,0,0,,0,0,0,,1,0,
2.150,0,0,0,0,,0,0,0,,1,0,
2.200,0,0,0,0,,0,0,0,,1,0,
2.251,0,0,0,0,,0,0,0,,1,0,
2.300,0,0,0,0,,0,0,0,,1,0,
2.350,1,0,0,0,,0,0,0,,1,0,
2.402,1,0,0,0,,0,0,0,,1,0,
2.450,1,0,0,0,,0,0,0,,1,0,
2.502,1,0,0,0,,0,0,0,,1,0,
2.551,1,0,0,0,,0,0,0,,1,0,
2.601,1,0,0,0,,0,0,0,,1,0,
2.650,1,0,0,0,,0,0,0,,1,0,
2.700,1,0,0,0,,0,0,0,,1,0,
2.752,1,0,0,0,,0,0,0,,1,0,
2.801,1,310,1,1,0.000,0,0,0,,1,0,
2.850,1,304,2,1,0.000,296,1,1,0.000,1,1,0.004
2.902,1,293,3,1,0.000,296,2,1,0.000,1,1,0.006
2.951,1,303,4,1,0.000,303,3,1,0.000,1,1,0.004
3.001,1,296,5,1,0.000,296,4,1,0.000,1,1,0.004
3.050,1,296,6,1,0.000,303,5,1,0.000,1,1,0.005
3.101,1,311,7,1,0.000,292,6,1,0.000,1,1,0.004
