pose,regime,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_face_range_m,tag_lateral_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
staging,staging,clean,15,108.044000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1726,0.979943,182,347,202,213,1.202547,0.080170,-0.000669,0.010570,0.059603,-0.000000,108.072000,0,,,,,,,,none,0,1,,1.202547,-0.000669,0.060291
staging,staging,clean,16,108.110000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.977654,182,347,202,215,1.204160,0.094873,-0.001980,0.011603,0.059980,-0.000000,108.130000,0,,,,,,,,none,0,1,,1.204160,-0.001980,0.062517
staging,staging,clean,17,108.176000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.977077,182,347,202,213,1.202690,0.080179,-0.000956,0.011616,0.056709,-0.000000,108.190000,0,,,,,,,,none,0,1,,1.202690,-0.000956,0.062806
staging,staging,clean,18,108.242000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1727,0.974504,182,347,202,213,1.202678,0.080179,-0.001204,0.011385,0.058101,-0.000000,108.254000,0,,,,,,,,none,0,1,,1.202678,-0.001204,0.056908
staging,staging,clean,19,108.308000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1732,0.974576,182,347,202,213,1.202407,0.080160,0.000124,0.012037,0.060267,-0.000000,108.330000,0,271.891363,87.008080,3.105460,2.285460,-0.401847,2.817915,0,none,0,1,,1.202407,0.000124,0.054063
staging,staging,clean,20,108.374000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1726,0.980170,182,347,202,213,1.202160,0.080144,0.001118,0.011974,0.056764,-0.000000,108.396000,0,271.892386,87.008154,3.105644,2.285644,-0.401863,2.818083,0,none,0,1,,1.202144,0.001185,0.052380
staging,staging,clean,21,108.440000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.974648,182,347,202,213,1.202666,0.080178,-0.001013,0.010379,0.056462,-0.000000,108.452000,0,,,,,,,,none,0,1,,1.202666,-0.001013,0.060870
staging,staging,clean,22,108.506000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.977528,182,347,202,213,1.202339,0.080156,0.000096,0.013028,0.061919,-0.000000,108.528000,0,,,,,,,,none,0,1,,1.202339,0.000096,0.065409
staging,staging,clean,23,108.572000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1731,0.977401,182,347,202,213,1.202282,0.080152,-0.001740,0.011269,0.059086,-0.000000,108.584000,0,,,,,,,,none,0,1,,1.202282,-0.001740,0.060364
staging,staging,clean,24,108.638000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.977778,182,347,202,213,1.202590,0.080173,-0.001102,0.011767,0.055954,-0.000000,108.650000,0,,,,,,,,none,0,1,,1.202590,-0.001102,0.059653
staging,staging,clean,25,108.704000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1723,0.980057,182,347,202,213,1.202712,0.080181,0.000109,0.010093,0.063404,-0.000000,108.726000,0,,,,,,,,none,0,1,,1.202712,0.000109,0.063311
staging,staging,clean,26,108.770000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1732,0.974790,182,347,202,213,1.202449,0.080163,-0.000436,0.011781,0.057953,-0.000000,108.782000,0,,,,,,,,none,0,1,,1.202449,-0.000436,0.059150
staging,staging,clean,27,108.836000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1729,0.977528,182,347,202,213,1.202303,0.080154,0.000089,0.013238,0.056974,-0.000000,108.858000,0,271.893210,87.007048,3.105619,2.285619,-0.401852,2.818058,0,none,0,1,,1.202303,0.000089,0.051717
staging,staging,clean,28,108.902000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1728,0.975000,182,347,202,213,1.202477,0.080165,-0.000459,0.014740,0.060352,-0.000000,108.914000,0,,,,,,,,none,0,1,,1.202477,-0.000459,0.063335
staging,staging,clean,29,108.968000,none,0,0,2.245190,-0.400018,2.463889,180.730915,347.850636,198.960934,217.012439,0.029438,0.775446,1,,6,1730,0.974790,182,347,202,215,1.204450,0.094896,-0.000246,0.012555,0.059215,-0.000000,108.980000,0,,,,,,,,none,0,1,,1.204450,-0.000246,0.064225
staging,staging,pallet_absent,0,127.844000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.011162,0.063727,-0.000000,123.260000,1,,,,,,,,none,0,0,face_width_not_pallet_sized,,,0.000002
staging,staging,pallet_absent,1,127.910000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,171,1.000000,,,,,,,,0.014200,0.061992,-0.000000,128.150000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.057463
staging,staging,pallet_absent,2,127.976000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,171,1.000000,,,,,,,,0.012649,0.064764,-0.000000,128.152000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.057212
staging,staging,pallet_absent,3,128.042000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,171,1.000000,,,,,,,,0.010188,0.064174,-0.000000,128.154000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.058535
staging,staging,pallet_absent,4,128.108000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,169,1.000000,,,,,,,,0.011797,0.062338,-0.000000,128.156000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.058861
staging,staging,pallet_absent,5,128.174000,pallet_absent,1,1,2.245190,23.600025,-3.572173,,,,,0.000000,0.775446,0,face_width_not_pallet_sized,5,170,1.000000,,,,,,,,0.012268,0.062870,-0.000000,128.192000,0,,,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.059356
