sim_s,leg_index,x,y
312.700,0,-6.5000,-5.5000
336.250,1,11.3152,-5.3816
349.100,2,11.7490,0.0748
384.150,3,-11.3237,0.7795
397.250,4,-11.7515,6.4221
432.600,5,11.3066,6.9723
445.800,6,11.7548,1.2307
466.000,7,0.5878,0.5344
479.350,8,-0.0069,-4.9097
491.600,9,-5.9135,-5.4287
