case,expected,reason,exact,range_m,seed,t_classify_s
rotated_pos,pallet_rotated,pallet_rotated,1,1.0,3,0.06990269999732845
rotated_pos,pallet_rotated,pallet_rotated,1,1.0,4,0.05482050000136951
rotated_pos,pallet_rotated,pallet_rotated,1,1.0,5,0.06970840000212775
rotated_pos,pallet_rotated,pallet_rotated,1,1.0,6,0.07269959999757702
rotated_pos,pallet_rotated,pallet_rotated,1,1.0,7,0.08124730000054114
rotated_pos,pallet_rotated,pallet_rotated,1,1.0,8,0.06571270000131335
rotated_pos,pallet_rotated,pallet_rotated,1,1.0,9,0.05029070000091451
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,0,0.07583460000023479
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,1,0.04775119999976596
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,2,0.08370250000007218
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,3,0.05103900000176509
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,4,0.04760979999991832
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,5,0.0767822999987402
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,6,0.05100040000252193
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,7,0.04546009999830858
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,8,0.05111150000084308
rotated_neg,pallet_rotated,pallet_rotated,1,2.245,9,0.07444059999761521
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,0,0.05263050000212388
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,1,0.07178770000246004
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,2,0.057040299998334376
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,3,0.05035140000109095
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,4,0.0670709000005445
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,5,0.05392569999821717
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,6,0.06891489999907208
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,7,0.05547419999857084
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,8,0.08386430000246037
rotated_neg,pallet_rotated,pallet_rotated,1,1.5,9,0.08999580000090646
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,0,0.06600489999982528
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,1,0.05328599999847938
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,2,0.057205299999623094
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,3,0.061271899998246226
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,4,0.04857800000172574
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,5,0.08951739999974961
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,6,0.05984610000086832
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,7,0.07398259999899892
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,8,0.04885409999769763
rotated_neg,pallet_rotated,pallet_rotated,1,1.0,9,0.07690089999960037
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,0,0.09990810000090278
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,1,0.05597210000269115
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,2,0.05844440000146278
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,3,0.05681909999839263
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,4,0.060490899999422254
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,5,0.052450999999564374
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,6,0.05124900000009802
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,7,0.09264089999851421
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,8,0.07367900000099326
pockets_filled,pocket_blocked,pocket_blocked,1,2.245,9,0.055884399997012224
