pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,t_decode_s,t_classify_s
staging,pallet_absent,4,938.984000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.012116,0.078522
staging,pallet_absent,5,939.050000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010158,0.077221
staging,pallet_absent,6,939.116000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.012570,0.076536
staging,pallet_absent,7,939.182000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.009988,0.077992
staging,pallet_absent,8,939.248000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010879,0.080977
staging,pallet_absent,9,939.314000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.011131,0.080786
staging,pallet_absent,10,939.380000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010393,0.078628
staging,pallet_absent,11,939.446000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010769,0.079493
staging,pallet_absent,12,939.512000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010401,0.078235
staging,pallet_absent,13,939.578000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010585,0.080842
staging,pallet_absent,14,939.644000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.012345,0.080568
staging,pallet_absent,15,939.710000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.011094,0.083151
staging,pallet_absent,16,939.776000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010622,0.080793
staging,pallet_absent,17,939.842000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.011173,0.077546
staging,pallet_absent,18,939.908000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010089,0.076172
staging,pallet_absent,19,939.974000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.011287,0.082454
staging,pallet_absent,20,940.040000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.012116,0.078411
staging,pallet_absent,21,940.106000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010943,0.082653
staging,pallet_absent,22,940.172000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010145,0.077008
staging,pallet_absent,23,940.238000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010751,0.079179
staging,pallet_absent,24,940.304000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010276,0.076611
staging,pallet_absent,25,940.370000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010854,0.077662
staging,pallet_absent,26,940.436000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.009705,0.077058
staging,pallet_absent,27,940.502000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010919,0.079310
staging,pallet_absent,28,940.568000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010102,0.077998
staging,pallet_absent,29,940.634000,stringer_in_path,1,0,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,0.010904,0.082960
staging,pallet_rotated,0,955.616000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011358,0.079272
staging,pallet_rotated,1,955.682000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011662,0.084557
staging,pallet_rotated,2,955.748000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011771,0.079482
staging,pallet_rotated,3,955.814000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.012259,0.077896
staging,pallet_rotated,4,955.880000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.010506,0.078478
staging,pallet_rotated,5,955.946000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.012322,0.083979
staging,pallet_rotated,6,956.012000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.013822,0.085947
staging,pallet_rotated,7,956.078000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011970,0.079630
staging,pallet_rotated,8,956.144000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.010836,0.083212
staging,pallet_rotated,9,956.210000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.010691,0.076718
staging,pallet_rotated,10,956.276000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011861,0.077905
staging,pallet_rotated,11,956.342000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.010891,0.078405
staging,pallet_rotated,12,956.408000,stringer_in_path,1,0,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,0.011412,0.082924
