t,v,w
1.0718305110931396,0.0,0.0
1.1218891143798828,0.0,0.0
1.1720325946807861,0.0,0.0
1.2219161987304688,0.0,0.0
1.271902084350586,0.0,0.0
1.3217675685882568,0.0,0.0
1.6788098812103271,0.0,0.0
1.6802070140838623,0.0,0.0
1.6813974380493164,0.0,0.0
1.6819100379943848,0.0,0.0
1.6821231842041016,0.0,0.0
1.6823196411132812,0.0,0.0
1.682481288909912,0.0,0.0
1.7217786312103271,0.0,0.0
1.7717573642730713,0.0,0.0
1.8218626976013184,0.0,0.0
1.8718080520629883,0.0,0.0
1.9218337535858154,0.0,0.0
1.971980333328247,0.0,0.0
2.0219733715057373,0.0,0.0
2.071861743927002,0.025,0.0
2.1217293739318848,0.0321413010871073,0.0008698875680098495
2.171804189682007,0.04485588371686261,0.002715107789128403
2.2217495441436768,0.058633574867972674,0.003530711502088564
2.271963596343994,0.06791566617988536,0.0032731463007987394
2.3218607902526855,0.08190803224189444,0.00382199354161183
2.3719892501831055,0.09252294077672739,0.003853992408975877
2.421839952468872,0.10508042397176581,0.0035719941795402145
2.4718759059906006,0.11578537922938895,0.0029171631853232324
2.521843194961548,0.12978119985695244,0.0027355591941481887
2.5718257427215576,0.1389546444086853,0.00337782678671745
2.6217751502990723,0.15294853173788522,0.0035379195269353587
2.6720638275146484,0.16355389610801668,0.004019739924949629
2.722137928009033,0.17755348458826942,0.003986606152166987
2.7719407081604004,0.18825571069365002,0.004298979632013867
2.8219776153564453,0.2022543757312586,0.003977066723328271
2.8718252182006836,0.2129557093143179,0.003384311386565843
2.921937942504883,0.22695307928393404,0.004426271750453968
2.972137689590454,0.2376535764039946,0.003826403954006623
3.0217719078063965,0.251643069473764,0.0038956933145554906
3.0718092918395996,0.26234945342835403,0.0036882488511444803
3.121835947036743,0.2764360313873438,0.0033313842163244516
3.1720566749572754,0.28704389954376214,0.0031935785633671362
3.2220587730407715,0.3011356134316905,0.003540766595450078
3.2719533443450928,0.31173611957662445,0.003996818386394319
3.3217644691467285,0.3257286063288468,0.0035639852759034724
3.3721022605895996,0.33786576036186816,0.003533905824405147
3.421804189682007,0.35185733288476645,0.002916382213138877
3.47217059135437,0.3626587607164346,0.0024977318451507966
3.521817922592163,0.3781887522575021,0.002563129982029307
3.5721538066864014,0.38889042601750506,0.0019318590925191228
3.621771812438965,0.4,0.0
3.672060012817383,0.4,0.0
3.721973419189453,0.4,0.0
3.7724950313568115,0.4,0.0
3.8222460746765137,0.4,0.0
3.8720006942749023,0.4,0.0
3.9220221042633057,0.4,0.0
3.9719700813293457,0.4,0.0
4.022154331207275,0.4,0.0
4.0721282958984375,0.4,0.0
4.121866703033447,0.4,0.0
4.171939849853516,0.4,0.0
4.221784353256226,0.4,0.0
4.272075891494751,0.4,0.0
4.321897983551025,0.4,0.0
4.372407674789429,0.4,0.0
4.421915292739868,0.4,0.0
4.472014665603638,0.4,0.0
4.5219011306762695,0.4,0.0
4.572002649307251,0.4,0.0
4.621833324432373,0.4,0.0
4.671998500823975,0.4,0.0
4.721985578536987,0.4,0.0
4.772280693054199,0.4,0.0
4.821909666061401,0.4,0.0
4.872047424316406,0.4,0.0
4.921880483627319,0.4,0.0
4.972045183181763,0.4,0.0
5.021866798400879,0.4,0.0
5.072096347808838,0.4,0.0
