utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T09:20:01Z,2.66,14211.5,0,0.0
2026-08-07T09:20:03Z,2.66,13849.4,8,644.6
2026-08-07T09:20:05Z,3.01,13745.7,8,1048.8
2026-08-07T09:20:06Z,3.01,13499.8,8,989.2
2026-08-07T09:20:08Z,3.01,13459.2,8,992.3
2026-08-07T09:20:09Z,2.93,13461.3,8,992.9
2026-08-07T09:20:11Z,2.93,13447.5,10,1091.8
2026-08-07T09:20:12Z,2.93,13419.0,10,1091.6
2026-08-07T09:20:14Z,2.77,13409.8,10,1094.5
2026-08-07T09:20:15Z,2.77,13392.6,10,1096.3
2026-08-07T09:20:17Z,2.77,13388.9,10,1096.6
2026-08-07T09:20:18Z,2.77,13368.2,10,1096.7
2026-08-07T09:20:20Z,3.19,13343.4,17,1463.1
2026-08-07T09:20:21Z,3.19,13168.4,17,1486.4
2026-08-07T09:20:23Z,3.19,13149.1,17,1504.9
2026-08-07T09:20:24Z,4.3,13147.1,17,1505.3
2026-08-07T09:20:26Z,4.3,13153.5,17,1505.3
2026-08-07T09:20:27Z,4.3,13158.6,17,1505.3
2026-08-07T09:20:29Z,4.84,13153.9,17,1505.3
2026-08-07T09:20:30Z,4.84,13153.3,17,1505.3
2026-08-07T09:20:32Z,4.84,13147.6,17,1565.8
2026-08-07T09:20:33Z,4.84,13130.0,17,1566.0
2026-08-07T09:20:35Z,5.89,13131.1,17,1566.0
2026-08-07T09:20:36Z,5.89,13129.3,17,1566.0
2026-08-07T09:20:38Z,5.89,13129.9,17,1566.0
2026-08-07T09:20:39Z,6.22,13133.5,17,1566.0
2026-08-07T09:20:41Z,6.22,13127.5,17,1566.0
2026-08-07T09:20:42Z,6.22,13125.8,17,1566.0
2026-08-07T09:20:44Z,6.52,13125.0,17,1566.0
2026-08-07T09:20:45Z,6.52,13126.9,17,1566.0
2026-08-07T09:20:47Z,6.52,13129.7,17,1566.0
2026-08-07T09:20:48Z,6.52,13126.5,17,1566.0
2026-08-07T09:20:50Z,6.88,13122.4,17,1566.0
2026-08-07T09:20:51Z,6.88,13124.8,17,1566.0
2026-08-07T09:20:53Z,6.88,13123.2,17,1566.0
2026-08-07T09:20:54Z,7.05,13124.4,17,1566.0
2026-08-07T09:20:56Z,7.05,13125.0,17,1566.0
2026-08-07T09:20:57Z,7.05,13119.1,17,1566.0
2026-08-07T09:20:59Z,7.37,13120.9,18,1569.7
2026-08-07T09:21:00Z,7.37,13086.3,19,1657.6
2026-08-07T09:21:02Z,7.37,13073.6,19,1662.0
2026-08-07T09:21:03Z,7.37,13067.0,19,1666.3
2026-08-07T09:21:05Z,7.58,13059.2,19,1669.1
2026-08-07T09:21:06Z,7.58,13054.7,19,1670.7
2026-08-07T09:21:08Z,7.58,13056.8,19,1671.9
2026-08-07T09:21:09Z,7.85,13055.3,19,1669.7
2026-08-07T09:21:11Z,7.85,13055.6,19,1671.8
2026-08-07T09:21:12Z,7.85,13053.9,19,1671.8
2026-08-07T09:21:14Z,7.38,13056.5,19,1669.6
2026-08-07T09:21:15Z,7.38,13052.9,19,1670.5
2026-08-07T09:21:17Z,7.38,13055.2,19,1670.6
2026-08-07T09:21:18Z,7.38,13055.8,19,1670.6
2026-08-07T09:21:20Z,6.95,13054.4,19,1671.0
2026-08-07T09:21:21Z,6.95,13057.9,19,1671.0
2026-08-07T09:21:23Z,6.95,13049.8,19,1671.0
2026-08-07T09:21:24Z,6.88,13050.6,19,1671.0
2026-08-07T09:21:26Z,6.88,13052.2,19,1671.0
2026-08-07T09:21:27Z,6.88,13093.2,17,1573.7
