t,v,w
0.6793065071105957,0.0,0.0
0.6795833110809326,0.0,0.0
0.6798045635223389,0.0,0.0
0.6801915168762207,0.0,0.0
0.680403470993042,0.0,0.0
0.6806955337524414,0.0,0.0
0.6810040473937988,0.0,0.0
0.6811995506286621,0.0,0.0
0.681384801864624,0.0,0.0
0.6815807819366455,0.0,0.0
0.6898488998413086,0.0,0.0
0.7101719379425049,0.0,0.0
0.7396655082702637,0.0,0.0
0.7605926990509033,0.0,0.0
0.7898902893066406,0.0,0.0
0.81005859375,0.0,0.0
0.8394536972045898,0.0,0.0
0.8607666492462158,0.0,0.0
0.8894729614257812,0.0,0.0
0.9107406139373779,0.0,0.0
0.9395425319671631,0.0,0.0
0.9603190422058105,0.0,0.0
0.9896790981292725,0.0,0.0
1.0104498863220215,0.0,0.0
1.0394818782806396,0.0,0.0
1.0603208541870117,0.0,0.0
1.0894083976745605,0.0,0.0
1.1100764274597168,0.0,0.0
1.1398749351501465,0.0,0.0
1.1603608131408691,0.0,0.0
1.1894876956939697,0.0,0.0
1.2106609344482422,0.0,0.0
1.2394211292266846,0.0,0.0
1.2601826190948486,0.0,0.0
1.289557933807373,0.0,0.0
1.3108241558074951,0.0,0.0
1.3396415710449219,0.0,0.0
1.3604583740234375,0.0,0.0
1.3895668983459473,0.0,0.0
1.410407543182373,0.0,0.0
1.4396193027496338,0.0,0.0
1.4606800079345703,0.0,0.0
1.4895660877227783,0.0,0.0
1.5108418464660645,0.0,0.0
1.5398139953613281,0.0,0.0
1.5609302520751953,0.0,0.0
1.5899608135223389,0.0,0.0
1.6105153560638428,0.0,0.0
1.6394250392913818,0.0,0.0
1.660749912261963,0.0,0.0
1.6893599033355713,0.0,0.0
1.710160493850708,0.0,0.0
1.7394354343414307,0.0,0.0
1.7603411674499512,0.0,0.0
1.7894201278686523,0.0,0.0
1.8107390403747559,0.0,0.0
1.839294195175171,0.0,0.0
1.860428810119629,0.0,0.0
1.8893327713012695,0.0,0.0
1.910327434539795,0.0,0.0
1.9393672943115234,0.0,0.0
1.960287094116211,0.0,0.0
1.9894347190856934,0.0,0.0
