t,enable,ceiling,permit,mode
0.02999401092529297,1,0.6,1,2
0.40375423431396484,1,0.6,1,2
0.4300382137298584,1,0.6,1,2
0.48004841804504395,1,0.6,1,2
0.529930830001831,1,0.6,1,2
0.579967737197876,1,0.6,1,2
0.6299903392791748,1,0.6,1,2
0.9568383693695068,1,0.6,1,2
0.979931116104126,1,0.6,1,2
1.0299298763275146,1,0.6,1,2
1.0799567699432373,1,0.6,1,2
1.1300311088562012,1,0.6,1,2
1.179952621459961,1,0.6,1,2
1.2299306392669678,1,0.6,1,2
1.2800679206848145,1,0.6,1,2
1.3301305770874023,1,0.6,1,2
1.3800106048583984,1,0.6,1,2
1.4299192428588867,1,0.6,1,2
1.4799628257751465,1,0.6,1,2
1.530043125152588,1,0.6,1,2
1.5799801349639893,1,0.6,1,2
1.6299753189086914,1,0.6,1,2
1.6799821853637695,1,0.6,1,2
1.7299234867095947,1,0.6,1,2
1.7799427509307861,1,0.6,1,2
1.8299174308776855,1,0.6,1,2
1.879969596862793,1,0.6,1,2
1.9299418926239014,1,0.6,1,2
1.9799127578735352,1,0.6,1,2
2.0300300121307373,1,0.6,1,2
2.0799553394317627,1,0.6,1,2
2.1299686431884766,1,0.6,1,2
2.1799557209014893,1,0.6,1,2
2.2300195693969727,1,0.6,1,2
2.27998423576355,1,0.6,1,2
2.3299546241760254,1,0.6,1,2
2.379937171936035,1,0.6,1,2
2.429917335510254,1,0.6,1,2
2.4799134731292725,1,0.6,1,2
2.5299553871154785,1,0.6,1,2
2.5799663066864014,1,0.6,1,2
2.630094528198242,1,0.6,1,2
2.679973602294922,1,0.6,1,2
2.7299468517303467,1,0.6,1,2
2.7799925804138184,1,0.6,1,2
2.829965829849243,1,0.6,1,2
2.879974365234375,1,0.6,1,2
2.9299800395965576,1,0.6,1,2
2.9801101684570312,1,0.6,1,2
3.0299744606018066,1,0.6,1,2
3.0799806118011475,1,0.6,1,2
3.129957914352417,1,0.6,1,2
3.1800036430358887,1,0.6,1,2
3.2299954891204834,1,0.6,1,2
3.280056953430176,1,0.6,1,2
3.3299238681793213,1,0.6,1,2
3.3799829483032227,1,0.6,1,2
3.4299156665802,1,0.6,1,2
3.4799444675445557,1,0.6,1,2
3.530045509338379,1,0.6,1,2
3.5799341201782227,1,0.6,1,2
3.6299164295196533,1,0.6,1,2
3.6799497604370117,1,0.6,1,2
3.7299818992614746,1,0.6,1,2
3.7799601554870605,1,0.6,1,2
3.830021858215332,1,0.6,1,2
3.879960775375366,1,0.6,1,2
3.9299440383911133,1,0.6,1,2
3.9799253940582275,1,0.6,1,2
4.0299437046051025,1,0.6,1,2
4.079954147338867,1,0.6,1,2
4.129913806915283,1,0.6,1,2
4.179945945739746,1,0.6,1,2
4.2299158573150635,1,0.6,1,2
4.27991509437561,1,0.6,1,2
4.330005884170532,1,0.6,1,2
4.379965305328369,1,0.6,1,2
4.429940700531006,1,0.6,1,2
4.479970216751099,1,0.6,1,2
4.5299763679504395,1,0.6,1,2
4.580009698867798,1,0.6,1,2
4.629955053329468,1,0.6,1,2
4.67996883392334,1,0.6,1,2
4.729949951171875,1,0.6,1,2
4.779935598373413,1,0.6,1,2
4.829961061477661,1,0.6,1,2
4.879989862442017,1,0.6,1,2
4.930007696151733,1,0.6,1,2
4.97994065284729,1,0.6,1,2
5.029953479766846,1,0.4,1,2
5.079934358596802,1,0.4,1,2
5.130125522613525,1,0.4,1,2
5.179957628250122,1,0.4,1,2
5.2299485206604,1,0.4,1,2
5.279901742935181,1,0.4,1,2
5.329943895339966,1,0.4,1,2
5.37996506690979,1,0.4,1,2
5.430015802383423,1,0.4,1,2
5.479904413223267,1,0.4,1,2
5.529929161071777,1,0.4,1,2
5.580425977706909,1,0.4,1,2
5.630064249038696,1,0.4,1,2
5.68000602722168,1,0.4,1,2
5.729897737503052,1,0.4,1,2
5.780066013336182,1,0.4,1,2
5.829909324645996,1,0.4,1,2
5.880040168762207,1,0.4,1,2
5.929997682571411,1,0.4,1,2
5.979921340942383,1,0.4,1,2
6.029858589172363,1,0.4,1,2
6.079925775527954,1,0.4,1,2
6.129974365234375,1,0.4,1,2
6.180395126342773,1,0.4,1,2
6.230180501937866,1,0.4,1,2
6.280114650726318,1,0.4,1,2
6.329956293106079,1,0.4,1,2
6.37998628616333,1,0.4,1,2
6.429966688156128,1,0.4,1,2
6.479970932006836,1,0.4,1,2
6.52996563911438,1,0.4,1,2
6.579915761947632,1,0.4,1,2
6.630053997039795,1,0.4,1,2
6.680093050003052,1,0.4,1,2
6.729915380477905,1,0.4,1,2
6.779826879501343,1,0.4,1,2
6.829899311065674,1,0.4,1,2
6.8799896240234375,1,0.4,1,2
6.930032968521118,1,0.4,1,2
6.979967832565308,1,0.4,1,2
7.029913425445557,1,0.4,1,2
7.079970836639404,1,0.4,1,2
7.1302056312561035,1,0.4,1,2
7.180255651473999,1,0.4,1,2
7.2298688888549805,1,0.4,1,2
7.280022382736206,1,0.4,1,2
7.330012321472168,1,0.4,1,2
7.380208730697632,1,0.4,1,2
7.429917812347412,1,0.4,1,2
7.4803431034088135,1,0.4,1,2
7.529916524887085,1,0.4,1,2
7.57991886138916,1,0.4,1,2
7.629979133605957,1,0.4,1,2
7.67989182472229,1,0.4,1,2
7.730309247970581,1,0.4,1,2
7.780005693435669,1,0.4,1,2
