t,v,w
3.264474868774414,0.025,0.0
3.314897060394287,0.05,0.0
3.3644816875457764,0.07500000000000001,0.0
3.4145667552948,0.1,0.0
3.464311122894287,0.125,0.0
3.5143651962280273,0.15,0.0
3.5641703605651855,0.175,0.0
3.614453077316284,0.19999999999999998,0.0
3.664299488067627,0.22499999999999998,0.0
3.7143900394439697,0.24999999999999997,0.0
3.7644290924072266,0.27499999999999997,0.0
3.814429998397827,0.3,0.0
3.8642027378082275,0.325,0.0
3.9144184589385986,0.35000000000000003,0.0
3.9642865657806396,0.37500000000000006,0.0
4.01451563835144,0.4000000000000001,0.0
4.06438136100769,0.4250000000000001,0.0
4.114511966705322,0.4500000000000001,0.0
4.164806127548218,0.47500000000000014,0.0
4.214453458786011,0.5,0.0
4.264235734939575,0.5,0.0
4.314294099807739,0.5,0.0
4.3641602993011475,0.5,0.0
4.414419651031494,0.5,0.0
4.464168548583984,0.5,0.0
4.514418125152588,0.5,0.0
4.564481496810913,0.5,0.0
4.614317893981934,0.5,0.0
4.664234638214111,0.5,0.0
4.714475870132446,0.5,0.0
4.764250040054321,0.5,0.0
4.814409971237183,0.5,0.0
4.864161729812622,0.5,0.0
4.914441823959351,0.5,0.0
4.964236259460449,0.5,0.0
5.014516830444336,0.5,0.0
5.0642876625061035,0.5,0.0
5.114427089691162,0.5,0.0
5.164416790008545,0.5,0.0
5.214348316192627,0.5,0.0
5.264490365982056,0.5,0.0
5.314674139022827,0.5,0.0
5.364527702331543,0.5,0.0
5.414388656616211,0.5,0.0
5.4644458293914795,0.5,0.0
5.514537811279297,0.5,0.0
5.564232110977173,0.5,0.0
5.6143879890441895,0.5,0.0
5.6645636558532715,0.5,0.0
5.714421510696411,0.5,0.0
5.7645251750946045,0.5,0.0
5.8143696784973145,0.5,0.0
5.8642942905426025,0.5,0.0
5.914446115493774,0.5,0.0
5.964362144470215,0.5,0.0
6.0143938064575195,0.5,0.0
6.06432318687439,0.5,0.0
6.114428758621216,0.5,0.0
6.164231777191162,0.5,0.0
6.214404821395874,0.5,0.0
6.264259338378906,0.5,0.0
6.314463138580322,0.5,0.0
6.364456653594971,0.5,0.0
6.414583683013916,0.5,0.0
6.464191198348999,0.5,0.0
6.514286041259766,0.5,0.0
6.564476251602173,0.5,0.0
6.61446475982666,0.5,0.0
6.664175987243652,0.5,0.0
6.7144551277160645,0.5,0.0
6.764311075210571,0.5,0.0
6.814336538314819,0.5,0.0
6.864340305328369,0.5,0.0
6.914448976516724,0.5,0.0
6.9641783237457275,0.5,0.0
7.014332056045532,0.5,0.0
7.064229965209961,0.5,0.0
7.1143786907196045,0.5,0.0
7.164341688156128,0.5,0.0
7.214430570602417,0.5,0.0
7.264356374740601,0.5,0.0
7.314370632171631,0.5,0.0
7.3644633293151855,0.5,0.0
7.414534330368042,0.5,0.0
7.464216709136963,0.5,0.0
7.514399766921997,0.5,0.0
7.564255475997925,0.5,0.0
7.614456653594971,0.5,0.0
7.664208650588989,0.5,0.0
7.714349746704102,0.5,0.0
7.764561176300049,0.5,0.0
7.814423084259033,0.5,0.0
7.8644773960113525,0.5,0.0
7.914328098297119,0.5,0.0
7.964253187179565,0.5,0.0
8.0145423412323,0.5,0.0
8.064160346984863,0.5,0.0
8.11430811882019,0.5,0.0
8.164143085479736,0.5,0.0
8.214440107345581,0.5,0.0
8.264225006103516,0.5,0.0
8.314368963241577,0.5,0.0
8.364406108856201,0.5,0.0
8.414353370666504,0.5,0.0
8.46437931060791,0.5,0.0
8.514340877532959,0.5,0.0
8.56420350074768,0.5,0.0
8.614433288574219,0.5,0.0
8.664589166641235,0.5,0.0
8.714356899261475,0.5,0.0
8.764143228530884,0.5,0.0
8.814298152923584,0.5,0.0
8.86421251296997,0.5,0.0
8.914488554000854,0.5,0.0
8.96418285369873,0.5,0.0
9.014333009719849,0.5,0.0
9.06419849395752,0.5,0.0
9.114295959472656,0.5,0.0
9.164174556732178,0.5,0.0
9.214404821395874,0.5,0.0
9.264302492141724,0.5,0.0
9.31432557106018,0.5,0.0
9.36440396308899,0.5,0.0
9.414544343948364,0.5,0.0
9.464462518692017,0.5,0.0
9.514447450637817,0.5,0.0
9.564196825027466,0.5,0.0
9.614548921585083,0.5,0.0
9.664294004440308,0.5,0.0
9.714438438415527,0.5,0.0
9.764356136322021,0.5,0.0
9.814699172973633,0.5,0.0
9.864405393600464,0.5,0.0
9.914488554000854,0.5,0.0
9.964976072311401,0.5,0.0
10.014469385147095,0.5,0.0
10.06433653831482,0.5,0.0
10.114403247833252,0.5,0.0
10.164336919784546,0.5,0.0
10.214317798614502,0.5,0.0
10.264460563659668,0.5,0.0
10.314498901367188,0.5,0.0
10.364367485046387,0.5,0.0
10.414510250091553,0.5,0.0
10.464280605316162,0.5,0.0
10.514528512954712,0.5,0.0
10.56439733505249,0.5,0.0
10.614487409591675,0.5,0.0
10.664299249649048,0.5,0.0
10.714588165283203,0.5,0.0
10.764352083206177,0.5,0.0
10.814384460449219,0.5,0.0
10.864398956298828,0.5,0.0
10.914427042007446,0.5,0.0
10.964328050613403,0.5,0.0
11.014422416687012,0.5,0.0
11.064225912094116,0.5,0.0
