t,enable,ceiling,permit,mode
0.029986858367919922,1,0.6,1,2
0.10155916213989258,1,0.6,1,2
0.12999773025512695,1,0.6,1,2
0.18002080917358398,1,0.6,1,2
0.2300400733947754,1,0.6,1,2
0.27997612953186035,1,0.6,1,2
0.3299446105957031,1,0.6,1,2
0.38008880615234375,1,0.6,1,2
0.4300072193145752,1,0.6,1,2
0.4799938201904297,1,0.6,1,2
0.5299711227416992,1,0.6,1,2
0.5799417495727539,1,0.6,1,2
0.6299550533294678,1,0.6,1,2
0.6799542903900146,1,0.6,1,2
0.7299494743347168,1,0.6,1,2
0.7799117565155029,1,0.6,1,2
0.8299703598022461,1,0.6,1,2
0.8799586296081543,1,0.6,1,2
0.9299831390380859,1,0.6,1,2
0.9800043106079102,1,0.6,1,2
1.0299348831176758,1,0.6,1,2
1.323580265045166,1,0.6,1,2
1.6576521396636963,1,0.6,1,2
1.6799266338348389,1,0.6,1,2
1.7299952507019043,1,0.6,1,2
1.7799725532531738,1,0.6,1,2
1.8300092220306396,1,0.6,1,2
1.8799424171447754,1,0.6,1,2
1.929927110671997,1,0.6,1,2
1.9799354076385498,1,0.6,1,2
2.0300345420837402,1,0.6,1,2
2.079974889755249,1,0.6,1,2
2.129974603652954,1,0.6,1,2
2.1799590587615967,1,0.6,1,2
2.229969024658203,1,0.6,1,2
2.2799746990203857,1,0.6,1,2
2.3299672603607178,1,0.6,1,2
2.3799946308135986,1,0.6,1,2
2.430021047592163,1,0.6,1,2
2.4800186157226562,1,0.6,1,2
2.5299980640411377,1,0.6,1,2
2.5800516605377197,1,0.6,1,2
2.6299335956573486,1,0.6,1,2
2.6800906658172607,1,0.6,1,2
2.7300148010253906,1,0.6,1,2
2.780012369155884,1,0.6,1,2
2.829953193664551,1,0.6,1,2
2.8799517154693604,1,0.6,1,2
2.9300525188446045,1,0.6,1,2
2.980043411254883,1,0.6,1,2
3.029930353164673,1,0.6,1,2
3.0799062252044678,1,0.6,1,2
3.1299479007720947,1,0.6,1,2
3.180009126663208,1,0.6,1,2
3.2300095558166504,1,0.6,1,2
3.279970645904541,1,0.6,1,2
3.330012321472168,1,0.6,1,2
3.379885196685791,1,0.6,1,2
3.429995059967041,1,0.6,1,2
3.479984998703003,1,0.6,1,2
3.529973268508911,1,0.6,1,2
3.5799739360809326,1,0.6,1,2
3.629976749420166,1,0.6,1,2
3.6799581050872803,1,0.6,1,2
3.7301623821258545,1,0.6,1,2
3.7800755500793457,1,0.6,1,2
3.8300468921661377,1,0.6,1,2
3.8802363872528076,1,0.6,1,2
3.9299681186676025,1,0.6,1,2
3.979952335357666,1,0.6,1,2
4.029987096786499,1,0.6,1,2
4.080059051513672,1,0.6,1,2
4.129981517791748,1,0.6,1,2
4.179973602294922,1,0.6,1,2
4.2300124168396,1,0.6,1,2
4.279930114746094,1,0.6,1,2
4.330030202865601,1,0.6,1,2
4.379987478256226,1,0.6,1,2
4.430009841918945,1,0.6,1,2
4.47994589805603,1,0.6,1,2
4.530001401901245,1,0.6,1,2
4.579983234405518,1,0.6,1,2
4.629993677139282,1,0.6,1,2
4.680001735687256,1,0.6,1,2
4.7300050258636475,1,0.6,1,2
4.779948472976685,1,0.6,1,2
4.829952955245972,1,0.6,1,2
4.879912376403809,1,0.6,1,2
4.93002462387085,1,0.6,1,2
4.979923248291016,1,0.6,1,2
5.029953479766846,1,0.6,1,2
5.07996129989624,1,0.6,1,2
5.130013465881348,1,0.6,1,2
5.179997205734253,1,0.6,1,2
5.2299511432647705,1,0.6,1,2
5.279977560043335,1,0.6,1,2
5.329970121383667,1,0.6,1,2
5.379942178726196,1,0.6,1,2
5.429963827133179,1,0.6,1,2
5.479955673217773,1,0.6,1,2
5.530091762542725,1,0.6,1,2
5.579941749572754,1,0.6,1,2
5.630008220672607,1,0.6,1,2
5.679954767227173,1,0.6,1,2
5.730002164840698,1,0.6,1,2
5.779907464981079,1,0.6,1,2
5.829928874969482,1,0.6,1,2
5.879940748214722,1,0.6,1,2
5.93000602722168,1,0.6,1,2
