t_sim,gt_x,gt_y,gt_yaw,cmd_v,cmd_w,steer,traction,refusals
12.988,-1.052447,-6.750061,-0.000089,0.300000,0.000000,0.000000,0.300000,0
13.008,-1.037447,-6.750064,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.028,-1.037447,-6.750064,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.048,-1.037447,-6.750064,-0.000092,0.300000,0.000000,0.000000,0.300000,0
13.068,-1.022447,-6.750067,-0.000096,0.300000,0.000000,0.000000,0.300000,0
13.088,-1.022447,-6.750067,-0.000096,0.300000,0.000000,0.000000,0.300000,0
13.108,-1.007447,-6.750070,-0.000099,0.300000,0.000000,0.000000,0.300000,0
13.128,-1.007447,-6.750070,-0.000099,0.300000,0.000000,0.000000,0.300000,0
13.148,-1.007447,-6.750070,-0.000099,0.300000,0.000000,0.000000,0.300000,0
13.168,-0.992447,-6.750073,-0.000102,0.300000,0.000000,0.000000,0.300000,0
13.188,-0.992447,-6.750073,-0.000102,0.300000,0.000000,0.000000,0.300000,0
13.208,-0.977447,-6.750076,-0.000105,0.300000,0.000000,0.000000,0.300000,0
13.228,-0.977447,-6.750076,-0.000105,0.300000,0.000000,0.000000,0.300000,0
13.248,-0.977447,-6.750076,-0.000105,0.300000,0.000000,0.000000,0.300000,0
13.268,-0.962447,-6.750079,-0.000108,0.300000,0.000000,0.000000,0.300000,0
13.288,-0.962447,-6.750079,-0.000108,0.300000,0.000000,0.000000,0.300000,0
13.308,-0.947447,-6.750082,-0.000111,0.300000,0.000000,0.000000,0.300000,0
13.328,-0.947447,-6.750082,-0.000111,0.300000,0.000000,0.000000,0.300000,0
13.348,-0.947447,-6.750082,-0.000111,0.300000,0.000000,0.000000,0.300000,0
13.368,-0.932447,-6.750085,-0.000113,0.300000,0.000000,0.000000,0.300000,0
13.388,-0.932447,-6.750085,-0.000113,0.300000,0.000000,0.000000,0.300000,0
13.408,-0.917447,-6.750088,-0.000116,0.300000,0.000000,0.000000,0.300000,0
13.428,-0.917447,-6.750088,-0.000116,0.300000,0.000000,0.000000,0.300000,0
13.448,-0.917447,-6.750088,-0.000116,0.300000,0.000000,0.000000,0.300000,0
13.468,-0.902447,-6.750092,-0.000119,0.300000,0.000000,0.000000,0.300000,0
13.488,-0.902447,-6.750092,-0.000119,0.300000,0.000000,0.000000,0.300000,0
13.508,-0.887447,-6.750095,-0.000122,0.300000,0.000000,0.000000,0.300000,0
13.528,-0.887447,-6.750095,-0.000122,0.300000,0.000000,0.000000,0.300000,0
13.548,-0.887447,-6.750095,-0.000122,0.300000,0.000000,0.000000,0.300000,0
13.568,-0.872447,-6.750098,-0.000124,0.300000,0.000000,0.000000,0.300000,0
13.588,-0.872447,-6.750098,-0.000124,0.300000,0.000000,0.000000,0.300000,0
13.608,-0.857447,-6.750101,-0.000127,0.300000,0.000000,0.000000,0.300000,0
13.628,-0.857447,-6.750101,-0.000127,0.300000,0.000000,0.000000,0.300000,0
13.648,-0.857447,-6.750101,-0.000127,0.300000,0.000000,0.000000,0.300000,0
13.668,-0.842447,-6.750104,-0.000130,0.300000,0.000000,0.000000,0.300000,0
13.688,-0.842447,-6.750104,-0.000130,0.300000,0.000000,0.000000,0.300000,0
13.708,-0.827447,-6.750108,-0.000132,0.300000,0.000000,0.000000,0.300000,0
13.728,-0.827447,-6.750108,-0.000132,0.300000,0.000000,0.000000,0.300000,0
13.748,-0.827447,-6.750108,-0.000132,0.300000,0.000000,0.000000,0.300000,0
13.768,-0.812447,-6.750111,-0.000135,0.300000,0.000000,0.000000,0.300000,0
13.788,-0.812447,-6.750111,-0.000135,0.300000,0.000000,0.000000,0.300000,0
13.808,-0.797447,-6.750114,-0.000137,0.300000,0.000000,0.000000,0.300000,0
13.828,-0.797447,-6.750114,-0.000137,0.300000,0.000000,0.000000,0.300000,0
13.848,-0.797447,-6.750114,-0.000137,0.300000,0.000000,0.000000,0.300000,0
13.868,-0.782447,-6.750117,-0.000140,0.300000,0.000000,0.000000,0.300000,0
13.888,-0.782447,-6.750117,-0.000140,0.300000,0.000000,0.000000,0.300000,0
13.908,-0.767447,-6.750121,-0.000142,0.300000,0.000000,0.000000,0.300000,0
13.928,-0.767447,-6.750121,-0.000142,0.300000,0.000000,0.000000,0.300000,0
13.948,-0.767447,-6.750121,-0.000142,0.300000,0.000000,0.000000,0.300000,0
13.968,-0.752447,-6.750124,-0.000145,0.300000,0.000000,0.000000,0.300000,0
13.988,-0.752447,-6.750124,-0.000145,0.300000,0.000000,0.000000,0.300000,0
14.008,-0.737447,-6.750127,-0.000147,0.300000,0.000000,0.000000,0.300000,0
14.028,-0.737447,-6.750127,-0.000147,0.300000,0.000000,0.000000,0.300000,0
14.048,-0.737447,-6.750127,-0.000147,0.300000,0.000000,0.000000,0.300000,0
14.068,-0.722447,-6.750131,-0.000149,0.300000,0.000000,0.000000,0.300000,0
14.088,-0.722447,-6.750131,-0.000149,0.300000,0.000000,0.000000,0.300000,0
14.108,-0.707447,-6.750134,-0.000151,0.300000,0.000000,0.000000,0.300000,0
14.128,-0.707447,-6.750134,-0.000151,0.300000,0.000000,0.000000,0.300000,0
14.148,-0.707447,-6.750134,-0.000151,0.300000,0.000000,0.000000,0.300000,0
14.168,-0.692447,-6.750138,-0.000154,0.300000,0.000000,0.000000,0.300000,0
14.188,-0.692447,-6.750138,-0.000154,0.300000,0.000000,0.000000,0.300000,0
14.208,-0.677447,-6.750141,-0.000156,0.300000,0.000000,0.000000,0.300000,0
14.228,-0.677447,-6.750141,-0.000156,0.300000,0.000000,0.000000,0.300000,0
14.248,-0.677447,-6.750141,-0.000156,0.300000,0.000000,0.000000,0.300000,0
14.268,-0.662447,-6.750145,-0.000158,0.300000,0.000000,0.000000,0.300000,0
14.288,-0.662447,-6.750145,-0.000158,0.300000,0.000000,0.000000,0.300000,0
14.308,-0.647447,-6.750148,-0.000160,0.300000,0.000000,0.000000,0.300000,0
14.328,-0.647447,-6.750148,-0.000160,0.300000,0.000000,0.000000,0.300000,0
14.348,-0.647447,-6.750148,-0.000160,0.300000,0.000000,0.000000,0.300000,0
14.368,-0.632447,-6.750151,-0.000162,0.300000,0.000000,0.000000,0.300000,0
14.388,-0.632447,-6.750151,-0.000162,0.300000,0.000000,0.000000,0.300000,0
14.408,-0.617447,-6.750155,-0.000164,0.300000,0.000000,0.000000,0.300000,0
