utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T09:31:41Z,25.29,14199.3,0,0.0
2026-08-07T09:31:43Z,25.29,14157.9,8,159.0
2026-08-07T09:31:45Z,25.29,13809.8,8,660.0
2026-08-07T09:31:47Z,25.98,13460.8,8,1154.4
2026-08-07T09:31:49Z,25.98,13499.6,8,978.8
2026-08-07T09:31:51Z,27.27,13459.7,8,980.5
2026-08-07T09:31:54Z,27.27,13454.9,10,1057.0
2026-08-07T09:31:56Z,27.33,13419.3,10,1078.6
2026-08-07T09:31:58Z,27.33,13382.6,10,1078.6
2026-08-07T09:32:00Z,27.33,13391.1,10,1080.9
2026-08-07T09:32:02Z,27.06,13389.4,10,1080.9
2026-08-07T09:32:04Z,27.06,13390.9,10,1080.9
2026-08-07T09:32:06Z,26.73,13367.9,10,1080.6
2026-08-07T09:32:09Z,26.73,13399.0,10,1080.6
2026-08-07T09:32:11Z,26.52,13366.4,17,1408.3
2026-08-07T09:32:13Z,26.52,13158.8,17,1488.7
2026-08-07T09:32:15Z,26.52,13154.8,17,1494.6
2026-08-07T09:32:17Z,26.79,13146.5,17,1494.6
2026-08-07T09:32:20Z,26.79,13152.1,17,1494.5
2026-08-07T09:32:22Z,27.61,13148.1,17,1494.5
2026-08-07T09:32:24Z,27.61,13144.3,17,1494.6
2026-08-07T09:32:26Z,28.68,13147.5,17,1494.5
2026-08-07T09:32:28Z,28.68,13148.3,17,1494.6
2026-08-07T09:32:30Z,28.68,13144.9,17,1494.6
2026-08-07T09:32:32Z,28.95,13120.7,17,1494.4
2026-08-07T09:32:34Z,28.95,13143.6,17,1494.6
2026-08-07T09:32:36Z,28.87,13112.3,17,1494.6
2026-08-07T09:32:39Z,28.87,13138.2,17,1494.6
2026-08-07T09:32:41Z,28.64,13140.8,17,1494.6
2026-08-07T09:32:43Z,28.64,13136.8,17,1494.5
2026-08-07T09:32:45Z,28.64,13142.2,17,1494.6
2026-08-07T09:32:47Z,28.27,13136.4,17,1494.6
2026-08-07T09:32:49Z,28.27,13145.4,17,1494.4
2026-08-07T09:32:52Z,27.93,13138.8,17,1494.4
2026-08-07T09:32:54Z,27.93,13112.9,17,1528.6
2026-08-07T09:32:56Z,27.77,13114.7,17,1555.3
2026-08-07T09:32:58Z,27.77,13118.3,17,1555.3
2026-08-07T09:33:01Z,27.77,13117.5,17,1555.5
2026-08-07T09:33:03Z,27.71,13113.3,17,1555.4
2026-08-07T09:33:05Z,27.71,13112.9,17,1555.5
2026-08-07T09:33:07Z,27.65,13112.1,17,1555.4
2026-08-07T09:33:09Z,27.65,13111.6,17,1555.1
2026-08-07T09:33:11Z,27.2,13110.8,17,1555.1
2026-08-07T09:33:13Z,27.2,13109.6,17,1555.1
2026-08-07T09:33:15Z,27.2,13108.8,17,1555.1
2026-08-07T09:33:17Z,27.27,13111.0,17,1555.2
2026-08-07T09:33:19Z,27.27,13112.5,17,1555.2
2026-08-07T09:33:21Z,27.08,13113.9,17,1555.3
2026-08-07T09:33:23Z,27.08,13111.5,19,1572.1
2026-08-07T09:33:25Z,27.08,13082.4,19,1655.9
2026-08-07T09:33:28Z,27.0,13061.2,19,1658.5
2026-08-07T09:33:30Z,27.0,13052.2,19,1659.4
2026-08-07T09:33:32Z,27.72,13049.6,19,1659.6
2026-08-07T09:33:34Z,27.72,13048.0,19,1659.6
2026-08-07T09:33:36Z,27.9,13048.1,19,1659.8
2026-08-07T09:33:38Z,27.9,13044.2,19,1659.4
2026-08-07T09:33:40Z,27.9,13100.9,17,1563.0
