utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T09:38:03Z,63.23,14178.6,0,0.0
2026-08-07T09:38:05Z,63.23,14138.8,0,0.0
2026-08-07T09:38:07Z,63.21,14020.6,9,496.5
2026-08-07T09:38:10Z,63.21,13724.9,8,1013.7
2026-08-07T09:38:12Z,63.11,13306.3,8,979.7
2026-08-07T09:38:15Z,63.11,13464.4,8,981.5
2026-08-07T09:38:18Z,62.94,13478.2,8,981.3
2026-08-07T09:38:20Z,62.94,13451.7,8,980.8
2026-08-07T09:38:23Z,63.75,13435.5,10,1082.2
2026-08-07T09:38:26Z,63.75,13381.0,10,1082.1
2026-08-07T09:38:29Z,65.21,13394.0,10,1082.1
2026-08-07T09:38:31Z,65.21,13366.0,10,1085.1
2026-08-07T09:38:34Z,65.19,13359.0,10,1085.0
2026-08-07T09:38:36Z,65.19,13357.2,10,1084.9
2026-08-07T09:38:39Z,65.18,13347.6,10,1084.6
2026-08-07T09:38:42Z,65.18,13346.2,10,1084.6
2026-08-07T09:38:45Z,65.0,13384.6,10,1084.5
2026-08-07T09:38:47Z,65.0,13348.9,10,1085.9
2026-08-07T09:38:50Z,65.0,13246.2,17,1444.2
2026-08-07T09:38:53Z,65.08,13139.6,17,1502.6
2026-08-07T09:38:56Z,65.08,13113.8,17,1502.6
2026-08-07T09:38:58Z,65.24,13108.9,17,1502.6
2026-08-07T09:39:01Z,65.24,13114.2,17,1502.6
2026-08-07T09:39:04Z,65.3,13117.0,17,1502.6
2026-08-07T09:39:06Z,65.3,13118.7,17,1502.8
2026-08-07T09:39:09Z,66.0,13113.8,17,1502.8
2026-08-07T09:39:11Z,66.0,13085.0,17,1502.8
2026-08-07T09:39:14Z,66.4,13115.4,17,1502.8
2026-08-07T09:39:17Z,66.4,13151.5,17,1502.8
2026-08-07T09:39:20Z,66.52,13171.2,17,1502.8
2026-08-07T09:39:23Z,66.32,13163.0,17,1502.8
2026-08-07T09:39:25Z,66.32,13172.0,17,1502.8
2026-08-07T09:39:28Z,66.3,13163.6,17,1502.8
2026-08-07T09:39:31Z,66.3,13146.3,17,1502.8
2026-08-07T09:39:34Z,66.43,13157.5,17,1502.8
2026-08-07T09:39:37Z,66.43,13145.3,17,1502.8
2026-08-07T09:39:39Z,66.48,13160.3,17,1502.8
2026-08-07T09:39:42Z,66.44,13148.1,17,1502.8
2026-08-07T09:39:45Z,66.44,13159.1,17,1502.8
2026-08-07T09:39:48Z,66.4,13155.2,17,1503.2
2026-08-07T09:39:50Z,66.4,13157.8,17,1504.0
2026-08-07T09:39:53Z,66.05,13158.7,17,1504.0
2026-08-07T09:39:55Z,66.05,13157.3,17,1504.0
2026-08-07T09:39:58Z,66.93,13133.6,17,1504.0
2026-08-07T09:40:00Z,66.93,13161.2,17,1504.0
2026-08-07T09:40:03Z,66.85,13145.4,17,1502.8
2026-08-07T09:40:05Z,66.85,13155.1,17,1563.7
2026-08-07T09:40:08Z,67.51,13130.6,17,1564.5
2026-08-07T09:40:10Z,67.51,13112.0,17,1564.5
2026-08-07T09:40:13Z,67.31,13129.0,17,1564.5
2026-08-07T09:40:15Z,67.31,13128.1,17,1564.5
2026-08-07T09:40:18Z,67.36,13130.6,17,1564.5
2026-08-07T09:40:20Z,67.36,13131.1,17,1564.5
2026-08-07T09:40:23Z,67.49,13129.3,17,1564.5
2026-08-07T09:40:25Z,67.49,13128.9,17,1564.5
2026-08-07T09:40:28Z,68.97,13136.0,17,1564.5
2026-08-07T09:40:31Z,68.97,13136.3,17,1564.4
2026-08-07T09:40:34Z,68.9,13136.8,17,1564.4
2026-08-07T09:40:37Z,68.9,13128.4,19,1588.2
2026-08-07T09:40:40Z,68.66,13099.7,19,1637.6
2026-08-07T09:40:42Z,68.45,13076.7,19,1666.1
2026-08-07T09:40:45Z,68.45,13070.4,19,1668.2
2026-08-07T09:40:48Z,67.93,13069.3,19,1669.7
2026-08-07T09:40:51Z,67.93,13063.2,19,1669.9
2026-08-07T09:40:53Z,67.78,13061.7,19,1669.9
2026-08-07T09:40:56Z,67.78,13059.9,19,1669.9
2026-08-07T09:40:58Z,67.32,13067.2,19,1670.1
2026-08-07T09:41:01Z,67.32,13065.2,19,1670.6
2026-08-07T09:41:04Z,67.37,13064.4,19,1667.8
2026-08-07T09:41:06Z,67.37,13122.5,17,1571.2
2026-08-07T09:41:09Z,67.18,13095.2,17,1571.2
