t,enable,ceiling,permit,mode
0.02986741065979004,0,0.6,1,2
0.09551548957824707,0,0.6,1,2
0.12990975379943848,0,0.6,1,2
0.17989039421081543,0,0.6,1,2
0.22992873191833496,0,0.6,1,2
0.27994251251220703,0,0.6,1,2
0.32997870445251465,0,0.6,1,2
0.3798816204071045,0,0.6,1,2
0.42986249923706055,0,0.6,1,2
0.47999000549316406,0,0.6,1,2
0.5299375057220459,0,0.6,1,2
0.5799083709716797,0,0.6,1,2
0.6298339366912842,0,0.6,1,2
0.6798505783081055,0,0.6,1,2
0.7298226356506348,0,0.6,1,2
0.7799012660980225,0,0.6,1,2
0.8298709392547607,0,0.6,1,2
0.87982177734375,0,0.6,1,2
0.9298667907714844,0,0.6,1,2
0.9798409938812256,0,0.6,1,2
1.029834508895874,0,0.6,1,2
1.0798583030700684,0,0.6,1,2
1.129859209060669,0,0.6,1,2
1.179823875427246,0,0.6,1,2
1.2299034595489502,0,0.6,1,2
1.2799983024597168,0,0.6,1,2
1.3298311233520508,0,0.6,1,2
1.3798680305480957,0,0.6,1,2
1.4297943115234375,0,0.6,1,2
1.4799330234527588,0,0.6,1,2
1.5298542976379395,0,0.6,1,2
1.579840898513794,0,0.6,1,2
1.6298542022705078,0,0.6,1,2
1.6799960136413574,0,0.6,1,2
1.7300097942352295,0,0.6,1,2
1.7800283432006836,0,0.6,1,2
1.8299391269683838,0,0.6,1,2
1.8800430297851562,0,0.6,1,2
1.9299774169921875,0,0.6,1,2
1.979865312576294,0,0.6,1,2
2.0298595428466797,0,0.6,1,2
2.080127239227295,0,0.6,1,2
2.1298537254333496,0,0.6,1,2
2.1798863410949707,0,0.6,1,2
2.2300055027008057,0,0.6,1,2
2.280102252960205,0,0.6,1,2
2.3298730850219727,0,0.6,1,2
2.379852533340454,0,0.6,1,2
2.429938554763794,0,0.6,1,2
2.4799506664276123,0,0.6,1,2
2.5298376083374023,0,0.6,1,2
2.5799262523651123,0,0.6,1,2
2.62994384765625,0,0.6,1,2
2.6798462867736816,0,0.6,1,2
2.729947090148926,0,0.6,1,2
2.7798454761505127,0,0.6,1,2
2.829817533493042,0,0.6,1,2
2.879801034927368,0,0.6,1,2
2.929819345474243,0,0.6,1,2
2.9798052310943604,0,0.6,1,2
3.0297789573669434,0,0.6,1,2
3.0797808170318604,0,0.6,1,2
3.129793167114258,0,0.6,1,2
3.179863452911377,0,0.6,1,2
3.2298836708068848,0,0.6,1,2
3.2798728942871094,0,0.6,1,2
3.329777240753174,0,0.6,1,2
3.379894495010376,0,0.6,1,2
3.429964542388916,0,0.6,1,2
3.4798431396484375,0,0.6,1,2
3.5297656059265137,0,0.6,1,2
3.5797832012176514,0,0.6,1,2
3.6297919750213623,0,0.6,1,2
3.6797964572906494,0,0.6,1,2
3.729890823364258,0,0.6,1,2
3.779906988143921,0,0.6,1,2
3.8297836780548096,0,0.6,1,2
3.8798038959503174,0,0.6,1,2
3.9299819469451904,0,0.6,1,2
3.9798812866210938,0,0.6,1,2
4.029796123504639,0,0.6,1,2
4.079809904098511,0,0.6,1,2
4.129787921905518,0,0.6,1,2
4.179922342300415,0,0.6,1,2
4.229846239089966,0,0.6,1,2
4.279824256896973,0,0.6,1,2
4.3298726081848145,0,0.6,1,2
4.379804611206055,0,0.6,1,2
4.4297826290130615,0,0.6,1,2
4.479808330535889,0,0.6,1,2
4.529874801635742,0,0.6,1,2
4.579806089401245,0,0.6,1,2
4.629777669906616,0,0.6,1,2
4.679884195327759,0,0.6,1,2
4.7297937870025635,0,0.6,1,2
4.779784917831421,0,0.6,1,2
4.829771280288696,0,0.6,1,2
4.879806995391846,0,0.6,1,2
4.929872989654541,0,0.6,1,2
4.979909896850586,0,0.6,1,2
5.0298120975494385,0,0.6,1,2
5.079814672470093,0,0.6,1,2
5.129912853240967,0,0.6,1,2
5.179818868637085,0,0.6,1,2
5.229863405227661,0,0.6,1,2
5.279975175857544,0,0.6,1,2
5.329804420471191,0,0.6,1,2
5.380019664764404,0,0.6,1,2
5.429908990859985,0,0.6,1,2
5.479945659637451,0,0.6,1,2
5.52986741065979,0,0.6,1,2
5.579825401306152,0,0.6,1,2
5.6299073696136475,0,0.6,1,2
5.679872751235962,0,0.6,1,2
5.729950666427612,0,0.6,1,2
5.779833793640137,0,0.6,1,2
5.82980751991272,0,0.6,1,2
5.879931211471558,0,0.6,1,2
5.929898977279663,0,0.6,1,2
5.97984766960144,0,0.6,1,2
6.029989957809448,0,0.6,1,2
6.079848051071167,0,0.6,1,2
6.129852771759033,0,0.6,1,2
6.179876327514648,0,0.6,1,2
6.229913234710693,0,0.6,1,2
