utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T09:03:58Z,3.76,14167.2,0,0.0
2026-08-07T09:03:59Z,3.76,13784.9,8,640.1
2026-08-07T09:04:01Z,3.76,13703.7,8,896.8
2026-08-07T09:04:02Z,3.62,13459.0,8,982.2
2026-08-07T09:04:04Z,3.62,13408.7,8,983.3
2026-08-07T09:04:05Z,3.62,13409.2,8,983.4
2026-08-07T09:04:07Z,3.73,13432.6,10,1062.5
2026-08-07T09:04:08Z,3.73,13377.7,10,1081.2
2026-08-07T09:04:10Z,3.73,13372.5,10,1081.7
2026-08-07T09:04:11Z,3.73,13353.3,10,1082.5
2026-08-07T09:04:13Z,3.59,13347.3,10,1083.6
2026-08-07T09:04:14Z,3.59,13328.7,10,1083.6
2026-08-07T09:04:16Z,3.59,13341.5,17,1360.5
2026-08-07T09:04:17Z,3.86,13124.5,17,1476.2
2026-08-07T09:04:19Z,3.86,13115.0,17,1492.7
2026-08-07T09:04:20Z,3.86,13115.1,17,1493.8
2026-08-07T09:04:22Z,6.68,13112.1,17,1493.8
2026-08-07T09:04:23Z,6.68,13104.3,17,1493.8
2026-08-07T09:04:25Z,6.68,13102.6,17,1493.8
2026-08-07T09:04:26Z,6.68,13099.2,17,1493.8
2026-08-07T09:04:28Z,6.54,13108.6,17,1504.5
2026-08-07T09:04:29Z,6.54,13077.2,17,1557.9
2026-08-07T09:04:31Z,6.54,13068.5,17,1557.9
2026-08-07T09:04:32Z,6.1,13071.5,17,1557.9
2026-08-07T09:04:34Z,6.1,13071.9,17,1557.9
2026-08-07T09:04:35Z,6.1,13078.4,17,1557.9
2026-08-07T09:04:37Z,5.69,13077.7,17,1557.9
2026-08-07T09:04:38Z,5.69,13075.4,17,1557.9
2026-08-07T09:04:40Z,5.69,13074.1,17,1557.9
2026-08-07T09:04:41Z,5.69,13076.7,17,1557.9
2026-08-07T09:04:43Z,5.79,13072.9,17,1557.9
2026-08-07T09:04:44Z,5.79,13076.0,17,1557.9
2026-08-07T09:04:46Z,5.79,13073.7,17,1557.9
2026-08-07T09:04:47Z,6.05,13078.2,17,1557.9
2026-08-07T09:04:49Z,6.05,13075.6,17,1557.9
2026-08-07T09:04:50Z,6.05,13082.6,17,1557.9
2026-08-07T09:04:52Z,6.13,13082.4,17,1557.9
2026-08-07T09:04:53Z,6.13,13084.5,17,1557.9
2026-08-07T09:04:55Z,6.13,13087.9,17,1557.9
2026-08-07T09:04:56Z,6.13,13055.1,19,1650.1
2026-08-07T09:04:58Z,6.2,13021.9,19,1652.1
2026-08-07T09:04:59Z,6.2,13017.2,19,1661.0
2026-08-07T09:05:01Z,6.2,13007.1,19,1669.2
2026-08-07T09:05:02Z,6.1,13003.9,19,1670.4
2026-08-07T09:05:04Z,6.1,13000.2,19,1670.8
2026-08-07T09:05:05Z,6.1,13004.2,19,1665.7
2026-08-07T09:05:07Z,5.93,13004.9,19,1667.3
2026-08-07T09:05:08Z,5.93,13008.7,19,1667.3
2026-08-07T09:05:10Z,5.93,13010.1,19,1667.1
2026-08-07T09:05:11Z,5.93,13019.3,19,1667.1
2026-08-07T09:05:13Z,5.78,13018.3,19,1667.6
2026-08-07T09:05:14Z,5.78,13018.4,19,1668.8
2026-08-07T09:05:16Z,5.78,13013.3,19,1668.8
2026-08-07T09:05:17Z,5.4,13015.9,19,1668.8
2026-08-07T09:05:19Z,5.4,13016.2,19,1668.8
2026-08-07T09:05:20Z,5.4,13013.7,19,1668.8
2026-08-07T09:05:22Z,5.2,13009.7,19,1669.0
2026-08-07T09:05:23Z,5.2,13007.6,19,1669.0
2026-08-07T09:05:25Z,5.2,13007.6,19,1669.0
2026-08-07T09:05:26Z,5.2,13014.5,19,1669.0
2026-08-07T09:05:28Z,4.95,13067.7,17,1570.4
