t,v,w
3.0602753162384033,0.0,0.0
3.0605695247650146,0.0,0.0
3.060816764831543,0.0,0.0
3.0610690116882324,0.0,0.0
3.0613152980804443,0.0,0.0
3.0616657733917236,0.0,0.0
3.0619444847106934,0.0,0.0
3.0621683597564697,0.0,0.0
3.0623903274536133,0.0,0.0
3.0626137256622314,0.0,0.0
3.100339412689209,0.0,0.0
3.150181531906128,0.0,0.0
3.200700521469116,0.0,0.0
3.2500250339508057,0.0,0.0
3.3003246784210205,0.0,0.0
3.34981632232666,0.0,0.0
3.4009501934051514,0.0,0.0
3.4500837326049805,0.0,0.0
3.5002033710479736,0.0,0.0
3.5500693321228027,0.0,0.0
3.600048780441284,0.0,0.0
3.6501193046569824,0.0,0.0
3.7000479698181152,0.0,0.0
3.7502872943878174,0.0,0.0
3.800625801086426,0.0,0.0
3.8502397537231445,0.0,0.0
3.9002606868743896,0.0,0.0
3.949956178665161,0.0,0.0
4.000421047210693,0.0,0.0
4.050072431564331,0.0,0.0
4.100593566894531,0.0,0.0
4.1507346630096436,0.0,0.0
4.199901819229126,0.0,0.0
4.250228643417358,0.0,0.0
4.300449371337891,0.0,0.0
4.350432634353638,0.0,0.0
4.400460958480835,0.0,0.0
4.449761152267456,0.0,0.0
4.500210523605347,0.0,0.0
4.550065279006958,0.0,0.0
4.601125717163086,0.0,0.0
4.650701522827148,0.0,0.0
5.005766868591309,0.0,0.0
5.006198406219482,0.0,0.0
5.04978346824646,0.0,0.0
5.100192308425903,0.0,0.0
5.150012254714966,0.0,0.0
5.20051383972168,0.0,0.0
5.249950170516968,0.0,0.0
5.299983024597168,0.0,0.0
5.350169658660889,0.0,0.0
5.400802373886108,0.0,0.0
5.449920415878296,0.0,0.0
5.500011920928955,0.0,0.0
5.549891710281372,0.0,0.0
5.600327968597412,0.0,0.0
5.650465965270996,0.0,0.0
5.700093507766724,0.0,0.0
5.749845504760742,0.0,0.0
5.800353765487671,0.0,0.0
5.81928563117981,-0.025,-0.019425911452809252
5.8564839363098145,-0.02931039141110902,-0.019806444919606665
5.906737327575684,-0.05038061582170944,-0.02428692915520752
5.956596851348877,-0.06390852143285522,-0.027076190194118197
6.006838321685791,-0.06981389342913658,-0.0261084866126518
6.056738376617432,-0.07720659436739975,-0.03345557338130909
6.106438875198364,-0.04694467418197047,-0.024816167468823314
6.156657934188843,-0.04413807878842981,-0.02653593918046611
6.206493139266968,-0.031898780517488956,-0.01806370623265742
6.256757974624634,-0.0198422262907742,-0.0141321557905639
6.3067100048065186,-0.004306436785396078,-0.013742318902740925
6.356433153152466,0.010804095343476107,-0.009990380551736233
6.40675950050354,0.02481267637218525,-0.004634680231759244
6.456505060195923,0.030318780949401755,-0.003952351798732835
6.506528615951538,0.043339704994954174,-0.0035080708527160023
6.55669641494751,0.05530171260400555,-0.0035881954907007766
6.6064229011535645,0.06857200771353947,-0.004170336225916267
6.6566550731658936,0.07961282163274709,-0.004748375232288043
6.706750392913818,0.09264055105159072,-0.0058158640936800165
6.756693363189697,0.10486667608106293,-0.006448091730077364
6.806904554367065,0.11886351714388377,-0.007328393852049776
6.8567259311676025,0.07966694764615923,-0.017079873177145037
6.906660795211792,0.08012309624575062,-0.014868348911128409
6.956678867340088,0.07079022064288734,-0.016375848599057878
7.006450176239014,0.053307272046592975,-0.019598065575964795
7.056438684463501,0.0470053735425087,-0.016592498494935354
7.106896162033081,0.034100238680372624,-0.017239146014753435
7.156527996063232,0.024465217589018942,-0.015146580812419154
7.20673394203186,0.01162615333265524,-0.0048699467197265076
7.2564709186553955,-0.0003137051736682647,-0.0019153144814413499
7.306642293930054,-0.017781324224190865,-0.00982638963473769
7.356670618057251,-0.024829380518220243,-0.016672705561569457
7.406680345535278,-0.03449915242964292,-0.02181635998434822
7.456645488739014,-0.04594340037258385,-0.027065533729226453
7.506443738937378,-0.0645085885995971,-0.029425275753270363
7.556509256362915,-0.07712047694597281,-0.024511920474023584
7.606807470321655,-0.09370385799656797,-0.0197067390215138
7.6565260887146,-0.10476059188622641,-0.019084668970022502
7.706473350524902,-0.11842716434419168,-0.024821263641322897
7.756733179092407,-0.12984381816004895,-0.03477869593822944
7.80667519569397,-0.13496645569171792,-0.045340232527307484
7.856820821762085,-0.1400909398364965,-0.04817329037656596
7.906473636627197,-0.15703306345545615,-0.05512032473049075
7.95646595954895,-0.12079913482221638,-0.040064924335614115
8.006584882736206,-0.11905770866091175,-0.046103042961562694
8.05655288696289,-0.11010933701285486,-0.044620722330293974
8.106698274612427,-0.0948554635720203,-0.039672600203486445
