t,v,w
2.27846622467041,0.0,0.0
2.2787320613861084,0.0,0.0
2.278932571411133,0.0,0.0
2.279115676879883,0.0,0.0
2.279282569885254,0.0,0.0
2.3041186332702637,0.025,-2.3489261277057708e-24
2.338345766067505,0.026437769911662187,2.0989133915689096e-06
2.3884527683258057,0.041402644027187255,0.0011243291665341102
2.438631534576416,0.05424469696525215,0.0015948799789572954
2.48836088180542,0.06482395759422283,0.0023533731460677284
2.53852915763855,0.07561332256612957,0.0030205742446362304
2.588383674621582,0.09104902084891794,0.003660091834121134
2.638357400894165,0.10020622140676427,0.0035538882742192344
2.688697338104248,0.11419025808154895,0.005814693053336586
2.738659620285034,0.12631067807452007,0.006902613388822779
2.788480281829834,0.13892845484282904,0.0073673334282537565
2.838665723800659,0.15094157255842358,0.007819720362265845
2.8887341022491455,0.16357518430190585,0.008608951810512706
2.938432455062866,0.17570137443920814,0.007602042472211865
2.988419532775879,0.18968227113529612,0.008604163148734533
3.0383267402648926,0.20038124571370153,0.009453215811625143
3.0884549617767334,0.21436189658142663,0.009737493299050111
3.138552665710449,0.2250637550679497,0.00952020632110765
3.1883175373077393,0.23914970984688388,0.00972493860332348
3.2387282848358154,0.24974805884681678,0.010098171189797937
3.288426160812378,0.26373879722612587,0.010860653670570045
3.3389973640441895,0.27597171279511745,0.010221351550230205
3.388843536376953,0.28996405848218715,0.010917520031154664
3.4386370182037354,0.3006651912817704,0.01075518928067945
3.488292694091797,0.3161972857926922,0.010031189850153338
3.538731575012207,0.3269087341731855,0.009593008547076108
3.5883898735046387,0.3409223017526667,0.009502871551659454
3.638681173324585,0.35163428569565564,0.00947523652288684
3.6889052391052246,0.3670777176978684,0.008365213893320874
3.7394607067108154,0.37789428798476543,0.006266922860605693
3.7886743545532227,0.39346465337151365,0.002667059910722568
3.838576316833496,0.4,0.0
3.888463258743286,0.4,0.0
3.9389114379882812,0.4,0.0
3.988790273666382,0.4,0.0
4.038331985473633,0.4,0.0
4.088714599609375,0.4,0.0
4.1387200355529785,0.4,0.0
4.1889379024505615,0.4,0.0
4.238680124282837,0.4,0.0
4.288391828536987,0.4,0.0
4.338698387145996,0.4,0.0
4.388584613800049,0.4,0.0
4.438658237457275,0.4,0.0
4.488499879837036,0.4,0.0
4.538610935211182,0.4,0.0
4.588378429412842,0.4,0.0
4.638263940811157,0.4,0.0
4.688764572143555,0.4,0.0
4.738637208938599,0.4,0.0
4.788370847702026,0.4,0.0
4.838491678237915,0.4,0.0
4.888606309890747,0.4,0.0
4.939121961593628,0.4,0.0
4.988476276397705,0.4,0.0
5.038316249847412,0.4,0.0
5.088249683380127,0.4,0.0
5.138544321060181,0.4,0.0
5.188559293746948,0.4,0.0
5.238694429397583,0.4,0.0
5.288535118103027,0.4,0.0
5.338745594024658,0.4,0.0
5.388318777084351,0.4,0.0
5.439197301864624,0.4,0.0
5.488521099090576,0.4,0.0
5.538819074630737,0.4,0.0
5.58833122253418,0.4,0.0
5.638584613800049,0.4,0.0
5.688591480255127,0.4,0.0
5.738761901855469,0.4,0.0
5.788475275039673,0.4,0.0
5.8386547565460205,0.4,0.0
5.888423204421997,0.4,0.0
5.938626289367676,0.4,0.0
5.988515853881836,0.4,0.0
6.038728713989258,0.4,0.0
6.088316917419434,0.4,0.0
6.138638496398926,0.4,0.0
6.188529014587402,0.4,0.0
6.238819360733032,0.4,0.0
6.28858208656311,0.4,0.0
6.338320255279541,0.4,0.0
6.388705730438232,0.4,0.0
6.439254522323608,0.4,0.0
6.488447189331055,0.4,0.0
6.538476467132568,0.4,0.0
6.588383436203003,0.4,0.0
6.638869285583496,0.4,0.0
6.688798189163208,0.4,0.0
6.739007949829102,0.4,0.0
6.788682222366333,0.4,0.0
6.838438510894775,0.4,0.0
6.888381242752075,0.4,0.0
6.9383628368377686,0.4,0.0
6.9886314868927,0.4,0.0
7.038581609725952,0.4,0.0
7.0884153842926025,0.4,0.0
7.13855242729187,0.4,0.0
7.188488721847534,0.4,0.0
7.238648176193237,0.4,0.0
7.2887749671936035,0.4,0.0
7.338536500930786,0.4,0.0
7.388345241546631,0.4,0.0
7.438329219818115,0.4,0.0
7.488668918609619,0.4,0.0
7.538537502288818,0.4,0.0
7.588793992996216,0.4,0.0
7.638579607009888,0.4,0.0
7.68846321105957,0.4,0.0
7.738756895065308,0.4,0.0
7.788560152053833,0.4,0.0
