utc,load1,mem_available_mb,n_processes,total_rss_mb
2026-08-07T09:18:19Z,0.81,14204.0,0,0.0
2026-08-07T09:18:20Z,0.81,13872.1,8,642.0
2026-08-07T09:18:22Z,0.81,13710.2,8,1048.1
2026-08-07T09:18:23Z,1.15,13467.9,8,985.9
2026-08-07T09:18:25Z,1.15,13476.1,10,1074.4
2026-08-07T09:18:26Z,1.15,13432.2,10,1090.4
2026-08-07T09:18:28Z,1.15,13422.1,10,1090.4
2026-08-07T09:18:29Z,1.37,13397.9,10,1091.7
2026-08-07T09:18:31Z,1.37,13398.2,10,1092.7
2026-08-07T09:18:32Z,1.37,13375.9,10,1092.7
2026-08-07T09:18:34Z,1.91,13387.5,17,1415.5
2026-08-07T09:18:35Z,1.91,13177.8,17,1486.7
2026-08-07T09:18:37Z,1.91,13165.1,17,1499.2
2026-08-07T09:18:38Z,1.83,13164.3,17,1504.8
2026-08-07T09:18:40Z,1.83,13163.1,17,1504.8
2026-08-07T09:18:41Z,1.83,13164.4,17,1504.8
2026-08-07T09:18:43Z,1.83,13163.0,17,1504.8
2026-08-07T09:18:44Z,1.93,13163.1,17,1504.8
2026-08-07T09:18:46Z,1.93,13165.0,17,1566.7
2026-08-07T09:18:48Z,1.93,13127.4,17,1567.3
2026-08-07T09:18:49Z,2.33,13126.9,17,1567.3
2026-08-07T09:18:51Z,2.33,13124.1,17,1567.3
2026-08-07T09:18:52Z,2.33,13126.5,17,1567.3
2026-08-07T09:18:54Z,2.23,13121.1,17,1567.3
2026-08-07T09:18:55Z,2.23,13124.9,17,1567.3
2026-08-07T09:18:57Z,2.23,13123.1,17,1567.3
2026-08-07T09:18:58Z,2.29,13125.2,17,1567.3
2026-08-07T09:19:00Z,2.29,13124.7,17,1567.3
2026-08-07T09:19:01Z,2.29,13126.2,17,1567.3
2026-08-07T09:19:03Z,2.29,13127.0,17,1567.3
2026-08-07T09:19:04Z,2.59,13125.3,17,1567.3
2026-08-07T09:19:06Z,2.59,13120.6,17,1567.3
2026-08-07T09:19:08Z,2.59,13122.6,17,1567.3
2026-08-07T09:19:09Z,2.62,13124.8,17,1567.3
2026-08-07T09:19:11Z,2.62,13118.3,17,1567.3
2026-08-07T09:19:12Z,2.62,13120.2,17,1567.3
2026-08-07T09:19:14Z,2.81,13125.8,19,1598.0
2026-08-07T09:19:15Z,2.81,13060.5,19,1669.5
2026-08-07T09:19:17Z,2.81,13058.7,19,1675.0
2026-08-07T09:19:18Z,2.81,13056.8,19,1680.8
2026-08-07T09:19:20Z,3.23,13057.0,19,1681.9
2026-08-07T09:19:21Z,3.23,13053.6,19,1683.0
2026-08-07T09:19:23Z,3.23,13054.2,19,1682.0
2026-08-07T09:19:24Z,3.61,13055.2,19,1682.0
2026-08-07T09:19:26Z,3.61,13053.8,19,1682.0
2026-08-07T09:19:27Z,3.61,13049.7,19,1682.0
2026-08-07T09:19:29Z,3.56,13050.4,19,1682.0
2026-08-07T09:19:31Z,3.56,13045.1,19,1681.8
2026-08-07T09:19:32Z,3.56,13047.7,19,1682.7
2026-08-07T09:19:34Z,3.43,13051.2,19,1682.7
2026-08-07T09:19:35Z,3.43,13052.7,19,1682.7
2026-08-07T09:19:37Z,3.43,13053.8,19,1682.7
2026-08-07T09:19:38Z,3.43,13051.7,19,1682.7
2026-08-07T09:19:40Z,3.72,13050.9,17,1574.9
