t,enable,ceiling,permit,mode
0.02985382080078125,1,0.6,1,2
0.0967562198638916,1,0.6,1,2
0.13012409210205078,1,0.6,1,2
0.17998027801513672,1,0.6,1,2
0.22991156578063965,1,0.6,1,2
0.279987096786499,1,0.6,1,2
0.32991790771484375,1,0.6,1,2
0.38001132011413574,1,0.6,1,2
0.4299149513244629,1,0.6,1,2
0.47977733612060547,1,0.6,1,2
0.5298933982849121,1,0.6,1,2
0.5799343585968018,1,0.6,1,2
0.6299567222595215,1,0.6,1,2
0.6798419952392578,1,0.6,1,2
0.7301468849182129,1,0.6,1,2
0.7799654006958008,1,0.6,1,2
0.8298568725585938,1,0.6,1,2
0.8798668384552002,1,0.6,1,2
0.9300992488861084,1,0.6,1,2
0.9798891544342041,1,0.6,1,2
1.0298991203308105,1,0.6,1,2
1.0798890590667725,1,0.6,1,2
1.129857063293457,1,0.6,1,2
1.180018663406372,1,0.6,1,2
1.2298455238342285,1,0.6,1,2
1.2800462245941162,1,0.6,1,2
1.3298852443695068,1,0.6,1,2
1.3800265789031982,1,0.6,1,2
1.4301283359527588,1,0.6,1,2
1.4799423217773438,1,0.6,1,2
1.5298991203308105,1,0.6,1,2
1.5799312591552734,1,0.6,1,2
1.6300067901611328,1,0.6,1,2
1.6799843311309814,1,0.6,1,2
1.7298600673675537,1,0.6,1,2
1.7799365520477295,1,0.6,1,2
1.8299469947814941,1,0.6,1,2
1.880056381225586,1,0.6,1,2
1.9300200939178467,1,0.6,1,2
1.9800982475280762,1,0.6,1,2
2.029893159866333,1,0.6,1,2
2.0800328254699707,1,0.6,1,2
2.129974603652954,1,0.6,1,2
2.1803195476531982,1,0.6,1,2
2.2297768592834473,1,0.6,1,2
2.2798855304718018,1,0.6,1,2
2.3300106525421143,1,0.6,1,2
2.379760265350342,1,0.6,1,2
2.4299254417419434,1,0.6,1,2
2.479923963546753,1,0.6,1,2
2.529900312423706,1,0.6,1,2
2.5799710750579834,1,0.6,1,2
2.629901885986328,1,0.6,1,2
2.679893970489502,1,0.6,1,2
2.729971408843994,1,0.6,1,2
2.779766321182251,1,0.6,1,2
2.829930543899536,1,0.6,1,2
2.8799493312835693,1,0.6,1,2
2.9298155307769775,1,0.6,1,2
2.9798803329467773,1,0.6,1,2
3.275007486343384,1,0.6,1,2
3.279867172241211,1,0.6,1,2
3.6121461391448975,1,0.6,1,2
3.6298916339874268,1,0.6,1,2
3.679751396179199,1,0.6,1,2
3.7299118041992188,1,0.6,1,2
