t,enable,ceiling,permit,mode
0.02989983558654785,1,0.6,1,2
0.08620905876159668,1,0.6,1,2
0.129988431930542,1,0.6,1,2
0.17985320091247559,1,0.6,1,2
0.22999978065490723,1,0.6,1,2
0.27983927726745605,1,0.6,1,2
0.32989001274108887,1,0.6,1,2
0.3799011707305908,1,0.6,1,2
0.4298875331878662,1,0.6,1,2
0.479856014251709,1,0.6,1,2
0.5300569534301758,1,0.6,1,2
0.5799441337585449,1,0.6,1,2
0.6299028396606445,1,0.6,1,2
0.6798768043518066,1,0.6,1,2
0.7299087047576904,1,0.6,1,2
0.78000807762146,1,0.6,1,2
0.8300249576568604,1,0.6,1,2
0.8800039291381836,1,0.6,1,2
0.9299790859222412,1,0.6,1,2
0.9798450469970703,1,0.6,1,2
1.0298724174499512,1,0.6,1,2
1.0799124240875244,1,0.6,1,2
1.129941701889038,1,0.6,1,2
1.179868459701538,1,0.6,1,2
1.2299156188964844,1,0.6,1,2
1.2798802852630615,1,0.6,1,2
1.3298883438110352,1,0.6,1,2
1.3798329830169678,1,0.6,1,2
1.4299979209899902,1,0.6,1,2
1.480029582977295,1,0.6,1,2
1.5298871994018555,1,0.6,1,2
1.5798630714416504,1,0.6,1,2
1.6299729347229004,1,0.6,1,2
1.679945707321167,1,0.6,1,2
1.7300188541412354,1,0.6,1,2
1.779869794845581,1,0.6,1,2
1.829885482788086,1,0.6,1,2
1.8799629211425781,1,0.6,1,2
1.9300718307495117,1,0.6,1,2
1.9799058437347412,1,0.6,1,2
2.0298798084259033,1,0.6,1,2
2.0798873901367188,1,0.6,1,2
2.130028009414673,1,0.6,1,2
2.1798646450042725,1,0.6,1,2
2.2299702167510986,1,0.6,1,2
2.2798871994018555,1,0.6,1,2
2.3299806118011475,1,0.6,1,2
2.3799471855163574,1,0.6,1,2
2.429918050765991,1,0.6,1,2
2.4798498153686523,1,0.6,1,2
2.52990460395813,1,0.6,1,2
2.5799660682678223,1,0.6,1,2
2.629861354827881,1,0.6,1,2
2.679887533187866,1,0.6,1,2
2.7298648357391357,1,0.6,1,2
2.7799723148345947,1,0.6,1,2
2.829848289489746,1,0.6,1,2
2.8798606395721436,1,0.6,1,2
2.9300334453582764,1,0.6,1,2
2.979783535003662,1,0.6,1,2
3.0298635959625244,1,0.6,1,2
3.0798583030700684,1,0.6,1,2
3.1299657821655273,1,0.6,1,2
3.1799490451812744,1,0.6,1,2
3.229905605316162,1,0.6,1,2
3.2798495292663574,1,0.6,1,2
3.3299968242645264,1,0.6,1,2
3.379868507385254,1,0.6,1,2
3.42991042137146,1,0.6,1,2
3.479825735092163,1,0.6,1,2
3.530013084411621,1,0.6,1,2
3.57995343208313,1,0.6,1,2
3.629991292953491,1,0.6,1,2
3.679849863052368,1,0.6,1,2
3.7300543785095215,1,0.6,1,2
3.779843807220459,1,0.6,1,2
3.8300580978393555,1,0.6,1,2
3.879878520965576,1,0.6,1,2
3.9298598766326904,1,0.6,1,2
3.9799039363861084,1,0.6,1,2
