t,v,w
0.610865592956543,0.0,0.0
0.6606528759002686,0.0,0.0
0.7106907367706299,0.0,0.0
0.7606439590454102,0.0,0.0
0.8106706142425537,0.0,0.0
0.8606460094451904,0.0,0.0
0.9107179641723633,0.0,0.0
0.9606256484985352,0.0,0.0
1.3239283561706543,0.0,0.0
1.3241524696350098,0.0,0.0
1.3243598937988281,0.0,0.0
1.3245220184326172,0.0,0.0
1.3246738910675049,0.0,0.0
1.3248414993286133,0.0,0.0
1.6582648754119873,0.0,0.0
1.6600587368011475,0.0,0.0
1.6603219509124756,0.0,0.0
1.660644769668579,0.0,0.0
1.660961627960205,0.0,0.0
1.6612915992736816,0.0,0.0
1.661910057067871,0.0,0.0
1.6622567176818848,0.0,0.0
1.7108566761016846,0.0,0.0
1.761045217514038,0.0,0.0
1.8108766078948975,0.0,0.0
1.860769271850586,0.0,0.0
1.9108123779296875,0.0,0.0
1.9606714248657227,0.0,0.0
2.0109524726867676,0.0,0.0
2.0607359409332275,0.025,0.0
2.1107325553894043,0.03202565120882775,0.00045678899810611557
2.1607091426849365,0.04869161513341977,0.0018679584754680422
2.21089506149292,0.05852881681573033,0.0028983065078881706
2.260759115219116,0.07254384306104075,0.0022751101954159797
2.310767889022827,0.08335564705412332,0.00212296762681318
2.3606956005096436,0.09736114441462507,0.002093077743697678
2.4108519554138184,0.10806737767738303,0.0023403149614784676
2.4607560634613037,0.12351035199036667,0.0024267734609818036
2.5107476711273193,0.13278258486485864,0.0024990938150187313
2.5608932971954346,0.14822393137000398,0.002141362353055304
2.610759973526001,0.1589280317648775,0.002477267269470666
2.6609420776367188,0.17436827536470803,0.0026999272256429557
2.711000680923462,0.18517582037279212,0.003204297534708143
2.7607502937316895,0.200713235185422,0.0023627524914160898
2.8109328746795654,0.2114220197895926,0.002679855747171114
2.8606979846954346,0.22541313234643212,0.0017748962432933225
2.9107539653778076,0.23621879134987228,0.001374303283250714
2.960622549057007,0.2517531040582046,0.0016145556575067714
3.0107860565185547,0.26246057495992486,0.002387600772528661
3.0607266426086426,0.2766514549688838,0.002952659756084427
