t,enable,ceiling,permit,mode
0.029938459396362305,1,1.0,1,2
0.09065508842468262,1,1.0,1,2
0.1300513744354248,1,1.0,1,2
0.1799328327178955,1,1.0,1,2
0.2300405502319336,1,1.0,1,2
0.27994465827941895,1,1.0,1,2
0.33008646965026855,1,1.0,1,2
0.3799436092376709,1,1.0,1,2
0.43007612228393555,1,1.0,1,2
0.48023056983947754,1,1.0,1,2
0.5299496650695801,1,1.0,1,2
0.5800478458404541,1,1.0,1,2
0.6299281120300293,1,1.0,1,2
0.6799767017364502,1,1.0,1,2
0.7299685478210449,1,1.0,1,2
0.7799417972564697,1,1.0,1,2
0.8300080299377441,1,1.0,1,2
0.8799219131469727,1,1.0,1,2
0.9300124645233154,1,1.0,1,2
0.9799375534057617,1,1.0,1,2
1.029996633529663,1,1.0,1,2
1.0798988342285156,1,1.0,1,2
1.1299412250518799,1,1.0,1,2
1.1799097061157227,1,1.0,1,2
1.2300233840942383,1,1.0,1,2
1.2799158096313477,1,1.0,1,2
1.3299815654754639,1,1.0,1,2
1.3801591396331787,1,1.0,1,2
1.429978370666504,1,1.0,1,2
1.4799847602844238,1,1.0,1,2
1.5299549102783203,1,1.0,1,2
1.579946517944336,1,1.0,1,2
1.6300530433654785,1,1.0,1,2
1.679959774017334,1,1.0,1,2
1.7299458980560303,1,1.0,1,2
1.7799327373504639,1,1.0,1,2
1.8300731182098389,1,1.0,1,2
1.8799293041229248,1,1.0,1,2
1.9299392700195312,1,1.0,1,2
1.979914665222168,1,1.0,1,2
2.0299289226531982,1,1.0,1,2
2.0799412727355957,1,1.0,1,2
2.129958152770996,1,1.0,1,2
2.179922342300415,1,1.0,1,2
2.2299742698669434,1,1.0,1,2
2.279914617538452,1,1.0,1,2
2.3299694061279297,1,1.0,1,2
2.380049228668213,1,1.0,1,2
2.429938554763794,1,1.0,1,2
2.479990243911743,1,1.0,1,2
2.5299384593963623,1,1.0,1,2
2.5800280570983887,1,1.0,1,2
2.6299402713775635,1,1.0,1,2
2.679961919784546,1,1.0,1,2
2.7301342487335205,1,1.0,1,2
2.7799763679504395,1,1.0,1,2
2.8301186561584473,1,1.0,1,2
2.8801183700561523,1,1.0,1,2
2.9300687313079834,1,1.0,1,2
2.9800870418548584,1,1.0,1,2
3.029981851577759,1,1.0,1,2
3.079953908920288,1,1.0,1,2
3.1299498081207275,1,1.0,1,2
3.179973602294922,1,1.0,1,2
3.2299857139587402,1,1.0,1,2
3.2799808979034424,1,1.0,1,2
3.3301103115081787,1,1.0,1,2
3.3800806999206543,1,1.0,1,2
3.430056095123291,1,1.0,1,2
3.4801759719848633,1,1.0,1,2
3.5299787521362305,1,1.0,1,2
3.5801126956939697,1,1.0,1,2
3.630030632019043,1,1.0,1,2
3.679988145828247,1,1.0,1,2
3.7300891876220703,1,1.0,1,2
3.7799603939056396,1,1.0,1,2
3.829946756362915,1,1.0,1,2
3.880047559738159,1,1.0,1,2
3.9301598072052,1,1.0,1,2
3.980109691619873,1,1.0,1,2
4.029993295669556,1,1.0,1,2
4.080145835876465,1,1.0,1,2
4.130011558532715,1,1.0,1,2
4.180017709732056,1,1.0,1,2
4.230096101760864,1,1.0,1,2
4.279944181442261,1,1.0,1,2
4.3299360275268555,1,1.0,1,2
4.379957914352417,1,1.0,1,2
4.42996072769165,1,1.0,1,2
4.479974269866943,1,1.0,1,2
4.53001856803894,1,1.0,1,2
4.580008506774902,1,1.0,1,2
4.630086183547974,1,1.0,1,2
4.679952144622803,1,1.0,1,2
4.729948997497559,1,1.0,1,2
4.780036687850952,1,1.0,1,2
4.82996129989624,1,1.0,1,2
4.879953861236572,1,1.0,1,2
4.929943323135376,1,1.0,1,2
4.9800496101379395,1,1.0,1,2
5.029970169067383,1,1.0,1,2
5.079973220825195,1,1.0,1,2
5.129965543746948,1,1.0,1,2
5.180027484893799,1,1.0,1,2
5.229952812194824,1,1.0,1,2
5.279983043670654,1,1.0,1,2
5.329959392547607,1,1.0,1,2
5.3799660205841064,1,1.0,1,2
5.429941892623901,1,1.0,1,2
5.47996187210083,1,1.0,1,2
5.530078649520874,1,1.0,1,2
5.580000877380371,1,1.0,1,2
5.62994647026062,1,1.0,1,2
5.679989337921143,1,1.0,1,2
5.729956865310669,1,1.0,1,2
5.779934883117676,1,1.0,1,2
5.829980373382568,1,1.0,1,2
5.879931449890137,1,1.0,1,2
5.929962158203125,1,1.0,1,2
5.979943037033081,1,1.0,1,2
6.030070543289185,1,1.0,1,2
6.080015182495117,1,1.0,1,2
6.130059719085693,1,1.0,1,2
6.179955720901489,1,1.0,1,2
6.229949235916138,1,1.0,1,2
6.279947280883789,1,1.0,1,2
6.329959869384766,1,1.0,1,2
6.38002347946167,1,1.0,1,2
6.430222511291504,1,1.0,1,2
6.480035066604614,1,1.0,1,2
6.530223608016968,1,1.0,1,2
6.580060243606567,1,1.0,1,2
6.6299824714660645,1,1.0,1,2
6.679958820343018,1,1.0,1,2
6.730074882507324,1,1.0,1,2
6.7799577713012695,1,1.0,1,2
6.82994818687439,1,1.0,1,2
6.879978179931641,1,1.0,1,2
6.930137872695923,1,1.0,1,2
6.979933738708496,1,1.0,1,2
7.029954671859741,1,1.0,1,2
7.0799596309661865,1,1.0,1,2
7.130023956298828,1,1.0,1,2
7.179934740066528,1,1.0,1,2
