sim_s,label,speed_mps,steer_rad
29.5560,settle,0.0000,0.0000
33.5560,approach East A,0.8000,0.0000
46.7580,DWELL,0.0000,0.0000
176.7580,resume east,0.8000,0.0000
181.7580,stop,0.0000,0.0000
189.8000,END,0.0000,0.0000
