pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s
staging,pallet_absent,13,546.482000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010274,0.055523
staging,pallet_absent,14,546.548000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010548,0.053430
staging,pallet_absent,15,546.614000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.015338,0.052776
staging,pallet_absent,16,546.680000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.013364,0.060392
staging,pallet_absent,17,546.746000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.011697,0.054573
staging,pallet_absent,18,546.812000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010859,0.056567
staging,pallet_absent,19,546.878000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010824,0.055528
staging,pallet_absent,20,546.944000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.011194,0.061510
staging,pallet_absent,21,547.010000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.012458,0.057975
staging,pallet_absent,22,547.076000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010388,0.054072
staging,pallet_absent,23,547.142000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.012422,0.062529
staging,pallet_absent,24,547.208000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.013390,0.057804
staging,pallet_absent,25,547.274000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.011019,0.057229
staging,pallet_absent,26,547.340000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010523,0.056706
staging,pallet_absent,27,547.406000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010510,0.061572
staging,pallet_absent,28,547.472000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.011184,0.058704
staging,pallet_absent,29,547.538000,pallet_absent,1,1,2.245000,23.599987,-3.572548,,,,,0.000000,0.775436,,,,,,,,0.010991,0.053793
staging,pallet_rotated,0,563.444000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,359,190,225,1.178630,0.256224,0.352741,0.012705,0.046358
staging,pallet_rotated,1,563.510000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,359,190,225,1.178846,0.256271,0.350932,0.011467,0.051154
staging,pallet_rotated,2,563.576000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,357,192,223,1.163020,0.226752,0.351556,0.011289,0.050273
staging,pallet_rotated,3,563.642000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,359,190,223,1.177142,0.241278,0.349033,0.013114,0.046643
staging,pallet_rotated,4,563.708000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,357,190,223,1.161077,0.240978,0.351009,0.011184,0.048157
staging,pallet_rotated,5,563.774000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,359,190,225,1.178652,0.256229,0.351732,0.010977,0.047578
staging,pallet_rotated,6,563.840000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,359,190,225,1.178498,0.256195,0.352639,0.012682,0.048400
staging,pallet_rotated,7,563.906000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,359,190,223,1.176955,0.241239,0.350147,0.012612,0.050662
staging,pallet_rotated,8,563.972000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,357,192,223,1.162468,0.226645,0.351071,0.012974,0.046560
staging,pallet_rotated,9,564.038000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,357,190,223,1.161314,0.241028,0.351884,0.012150,0.049477
staging,pallet_rotated,10,564.104000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,359,190,225,1.178687,0.256236,0.348847,0.011317,0.048053
staging,pallet_rotated,11,564.170000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,357,190,225,1.162504,0.255897,0.348766,0.015088,0.047214
staging,pallet_rotated,12,564.236000,pallet_rotated,1,1,2.245000,-0.262828,2.484728,196.908339,358.710416,187.290385,228.577598,0.065187,0.775436,198,359,190,223,1.177034,0.241255,0.351216,0.011942,0.050020
