cycle,k,stamp,wall,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,t_classify_s
0,821,1025.840000,151.389949,pallet_rotated,1,7.431461,4.974409,1.119049,0.644409,0.821084,0.088674
0,822,1026.038000,151.582908,pallet_rotated,1,7.427570,4.984444,1.134630,0.654444,0.816689,0.088084
0,823,1026.236000,151.775668,pallet_rotated,1,7.424560,4.991960,1.146320,0.661960,0.812070,0.086235
0,824,1026.434000,151.966478,pallet_rotated,1,7.420427,5.001966,1.161912,0.671966,0.807425,0.082441
0,825,1026.566000,152.148479,pallet_rotated,1,7.416153,5.011952,1.177511,0.681952,0.804300,0.090725
0,826,1026.830000,152.358946,pallet_rotated,1,7.388892,5.068990,1.267324,0.738990,0.798037,0.090675
0,827,1027.028000,152.566228,pallet_rotated,1,7.387603,5.071455,1.271233,0.741455,0.793294,0.096967
0,828,1027.226000,152.776243,pallet_rotated,1,7.386306,5.073920,1.275143,0.743920,0.788509,0.091744
0,829,1027.424000,152.980478,pallet_rotated,1,7.385000,5.076383,1.279053,0.746383,0.783678,0.098297
0,830,1027.622000,153.196805,pallet_rotated,1,7.383685,5.078845,1.282964,0.748845,0.778786,0.081661
0,831,1027.820000,153.377850,pallet_rotated,1,7.382362,5.081306,1.286875,0.751306,0.775983,0.084471
0,832,1028.150000,153.740210,pallet_rotated,1,7.354800,5.137337,1.348055,0.807337,0.773734,0.087168
0,833,1028.348000,153.934338,pallet_rotated,1,7.353484,5.140123,1.351511,0.810123,0.770492,0.085161
0,834,1028.546000,154.124122,pallet_rotated,1,7.352152,5.142924,1.355012,0.812924,0.766390,0.091508
0,835,1028.744000,154.317911,pallet_absent,1,7.350804,5.145730,1.358549,0.815730,0.762617,0.099455
0,836,1028.942000,154.524069,pallet_absent,1,7.349441,5.148534,1.362118,0.818534,0.759437,0.096861
0,837,1029.206000,154.745049,pallet_absent,1,7.348064,5.151334,1.365714,0.821334,0.756214,0.108735
0,838,1029.404000,154.965077,pallet_absent,1,7.346673,5.154125,1.369334,0.824125,0.754544,0.094189
0,839,1029.602000,155.166538,pallet_absent,1,7.342413,5.162431,1.380324,0.832431,0.753558,0.083946
0,840,1029.800000,155.354487,pallet_absent,1,7.336535,5.173306,1.395259,0.843306,0.753187,0.091575
0,841,1029.998000,155.548058,pallet_absent,1,7.330425,5.183915,1.410500,0.853915,0.752852,0.089020
0,842,1030.262000,155.789631,pallet_absent,1,7.289701,5.245648,1.504958,0.915648,0.752467,0.086438
0,843,1030.394000,155.980642,pallet_absent,1,7.287907,5.248574,1.508906,0.918574,0.752285,0.093926
0,844,1030.592000,156.174818,pallet_absent,1,7.286105,5.251528,1.512852,0.921528,0.752083,0.090408
0,845,1030.856000,156.382881,pallet_absent,1,7.267492,5.282105,1.552326,0.952105,0.751696,0.082464
0,846,1030.988000,156.565413,pallet_rotated,1,7.265568,5.285244,1.556276,0.955244,0.751624,0.064768
0,847,1031.120000,156.705060,pallet_rotated,1,7.263631,5.288396,1.560225,0.958396,0.751497,0.060065
0,848,1031.252000,156.840782,pallet_rotated,1,7.261682,5.291563,1.564177,0.961563,0.751449,0.061962
0,849,1031.450000,156.984487,pallet_rotated,1,7.259721,5.294744,1.568127,0.964744,0.751559,0.062055
0,850,1031.582000,157.123809,pallet_rotated,1,7.257747,5.297940,1.572078,0.967940,0.751455,0.058444
0,851,1031.780000,157.307029,pallet_rotated,1,7.230877,5.340936,1.623471,1.010936,0.751299,0.062584
0,852,1031.912000,157.448545,pallet_rotated,1,7.228711,5.344376,1.627427,1.014376,0.751214,0.061191
0,853,1032.044000,157.587667,pallet_rotated,1,7.226530,5.347835,1.631382,1.017835,0.751107,0.062381
0,854,1032.176000,157.725036,pallet_rotated,1,7.224333,5.351315,1.635338,1.021315,0.751042,0.061897
0,855,1032.308000,157.860365,pallet_rotated,1,7.222120,5.354816,1.639295,1.024816,0.750996,0.071531
0,856,1032.440000,158.006631,pallet_rotated,1,7.219891,5.358340,1.643254,1.028340,0.750960,0.060858
0,857,1032.572000,158.143359,pallet_rotated,1,7.217647,5.361888,1.647211,1.031888,0.750911,0.062212
0,858,1032.704000,158.280171,pallet_rotated,1,7.215385,5.365461,1.651170,1.035461,0.750892,0.057483
0,859,1032.836000,158.413057,pallet_rotated,1,7.213107,5.369058,1.655128,1.039058,0.750876,0.056950
0,860,1032.968000,158.542355,pallet_rotated,1,7.210812,5.372681,1.659089,1.042681,0.750801,0.060073
0,861,1033.100000,158.677507,pallet_rotated,1,7.208499,5.376331,1.663048,1.046331,0.750752,0.061145
0,862,1033.364000,158.891387,pallet_rotated,1,7.147850,5.493419,1.751513,1.163419,0.750638,0.058433
0,863,1033.496000,159.028611,pallet_rotated,1,7.144503,5.500874,1.755512,1.170874,0.751077,0.064884
0,864,1033.628000,159.183993,pallet_rotated,1,7.141092,5.508536,1.759501,1.178536,0.751953,0.061752
0,865,1033.892000,159.439865,pallet_rotated,1,7.111192,5.578970,1.790901,1.248970,0.755820,0.054356
0,866,1034.024000,159.573330,pallet_rotated,1,7.099456,5.609074,1.801274,1.279074,0.758825,0.061831
0,867,1034.156000,159.710739,pallet_rotated,1,7.095561,5.619436,1.804441,1.289436,0.762422,0.058694
0,868,1034.288000,159.850807,pallet_rotated,1,7.091680,5.629941,1.807457,1.299941,0.766227,0.070255
0,869,1034.420000,159.998672,pallet_rotated,1,7.087820,5.640578,1.810315,1.310578,0.769665,0.062636
0,870,1034.552000,160.138113,pallet_rotated,1,7.083982,5.651337,1.813017,1.321337,0.772646,0.061641
0,871,1034.684000,160.275205,pallet_rotated,1,7.080170,5.662208,1.815556,1.332208,0.775296,0.064894
0,872,1034.816000,160.413538,pallet_rotated,1,7.076384,5.673183,1.817938,1.343183,0.777640,0.066132
0,873,1035.014000,160.568479,pallet_rotated,1,7.072629,5.684255,1.820158,1.354255,0.779837,0.069365
0,874,1035.146000,160.722182,pallet_rotated,1,7.068903,5.695414,1.822225,1.365414,0.779772,0.082373
0,875,1035.344000,160.899884,pallet_rotated,1,7.065210,5.706656,1.824134,1.376656,0.778245,0.078934
0,876,1035.476000,161.067623,pallet_rotated,1,7.057972,5.729372,1.827507,1.399372,0.776758,0.071957
0,877,1035.674000,161.227237,pallet_rotated,1,7.048832,5.763790,1.829591,1.433790,0.774486,0.068508
0,878,1035.806000,161.382270,pallet_rotated,1,7.043144,5.797351,1.825858,1.467351,0.773229,0.071294
0,879,1035.938000,161.536308,pallet_rotated,1,7.039468,5.830362,1.818031,1.500362,0.772132,0.068599
0,880,1036.136000,161.689018,pallet_rotated,1,7.036526,5.863828,1.808242,1.533828,0.770381,0.070207
0,881,1036.268000,161.837425,pallet_rotated,1,7.033714,5.898092,1.797817,1.568092,0.768675,0.064170
0,882,1036.400000,161.982905,pallet_absent,1,7.030730,5.932974,1.787680,1.602974,0.766966,0.073624
0,883,1036.598000,162.148159,pallet_rotated,1,7.027496,5.968319,1.778296,1.638319,0.763877,0.069703
0,884,1036.730000,162.295127,pallet_rotated,1,7.024626,6.003111,1.769310,1.673111,0.761875,0.064792
0,885,1036.862000,162.435115,pallet_rotated,1,7.023162,6.035001,1.759797,1.705001,0.760039,0.059139
0,886,1036.994000,162.569971,pallet_rotated,1,7.023304,6.063688,1.748949,1.733688,0.758587,0.060748
0,887,1037.126000,162.703502,pallet_rotated,1,7.024190,6.091411,1.737380,1.761411,0.757588,0.054841
0,888,1037.258000,162.829369,pallet_rotated,1,7.024946,6.110243,1.729489,1.780243,0.756758,0.057491
0,889,1037.390000,162.958548,pallet_rotated,1,7.026100,6.139986,1.717586,1.809986,0.755960,0.060267
0,890,1037.522000,163.088784,pallet_rotated,1,7.026690,6.160878,1.709938,1.830878,0.755426,0.060603
0,891,1037.654000,163.219151,pallet_rotated,1,7.027044,6.193486,1.699515,1.863486,0.755299,0.059117
0,892,1037.852000,163.397746,pallet_rotated,1,7.019811,6.454877,1.654160,2.124877,0.756146,0.061003
0,893,1037.984000,163.534206,pallet_rotated,1,7.019170,6.467170,1.653199,2.137170,0.757181,0.068289
0,894,1038.116000,163.686171,pallet_rotated,1,7.018523,6.479478,1.652288,2.149478,0.758587,0.058035
0,895,1038.248000,163.817685,pallet_absent,1,7.017872,6.491799,1.651420,2.161799,0.760140,0.069293
0,896,1038.380000,163.975375,pallet_rotated,1,7.017220,6.504133,1.650588,2.174133,0.761878,0.060324
0,897,1038.512000,164.115970,pallet_rotated,1,7.016568,6.516477,1.649787,2.186477,0.763883,0.061663
0,898,1038.710000,164.265200,pallet_rotated,1,7.015917,6.528832,1.649012,2.198832,0.767152,0.069911
0,899,1038.842000,164.419037,pallet_rotated,1,7.015270,6.541195,1.648259,2.211195,0.769466,0.074377
0,900,1038.974000,164.576543,pallet_rotated,1,7.014629,6.553568,1.647543,2.223568,0.772012,0.071880
0,901,1039.172000,164.737356,pallet_rotated,1,7.014050,6.565949,1.646786,2.235949,0.775632,0.077841
0,902,1039.304000,164.921870,pallet_rotated,1,7.013226,6.603116,1.643186,2.273116,0.778005,0.089810
0,903,1039.502000,165.115020,pallet_rotated,1,7.012725,6.652682,1.637124,2.322682,0.781107,0.076338
0,904,1039.700000,165.284985,pallet_absent,1,7.011702,6.689884,1.633769,2.359884,0.783363,0.086236
0,905,1039.898000,165.456611,pallet_rotated,1,7.009933,6.739522,1.630517,2.409522,0.784648,0.077514
0,906,1040.030000,165.617147,pallet_rotated,1,7.008791,6.775750,1.628314,2.445750,0.784873,0.075473
0,907,1040.228000,165.779627,pallet_rotated,1,7.008338,6.808310,1.625693,2.478310,0.784434,0.069120
0,908,1040.360000,165.934376,pallet_rotated,1,7.008910,6.834169,1.622418,2.504169,0.783916,0.074897
0,909,1040.492000,166.096987,pallet_rotated,1,7.010496,6.850538,1.618884,2.520538,0.783135,0.091562
0,910,1040.690000,166.281941,pallet_rotated,1,7.011988,6.857438,1.615108,2.527438,0.781592,0.067754
0,911,1040.888000,166.438946,pallet_rotated,1,7.011376,6.853994,1.616161,2.523994,0.779652,0.074733
0,912,1041.020000,166.600070,pallet_rotated,1,7.011118,6.841462,1.617252,2.511462,0.778708,0.077644
0,913,1041.152000,166.766454,pallet_rotated,1,7.013191,6.826526,1.614558,2.496526,0.777653,0.070107
0,914,1041.350000,166.927116,pallet_rotated,1,7.017011,6.807133,1.609118,2.477133,0.777292,0.077961
0,915,1041.548000,167.099445,pallet_rotated,1,7.022931,6.774417,1.600221,2.444417,0.777337,0.080354
0,916,1041.746000,167.298341,pallet_rotated,1,7.042771,6.532861,1.562930,2.202861,0.776449,0.084424
0,917,1041.878000,167.479047,pallet_rotated,1,7.042324,6.520800,1.563451,2.190800,0.775371,0.081712
0,918,1042.076000,167.663286,pallet_absent,1,7.041937,6.508696,1.563911,2.178696,0.773177,0.080504
0,919,1042.274000,167.836230,pallet_rotated,1,7.041610,6.496555,1.564294,2.166555,0.771527,0.073033
0,920,1042.406000,168.004802,pallet_rotated,1,7.041358,6.484379,1.564570,2.154379,0.770664,0.073568
0,921,1042.604000,168.175118,pallet_absent,1,7.041191,6.472173,1.564727,2.142173,0.769492,0.086821
0,922,1042.802000,168.364520,pallet_rotated,1,7.041098,6.459940,1.564773,2.129940,0.768128,0.070752
0,923,1042.934000,168.523851,pallet_rotated,1,7.041070,6.447684,1.564705,2.117684,0.767035,0.062770
0,924,1043.066000,168.667206,pallet_rotated,1,7.041236,6.423111,1.564199,2.093111,0.765791,0.068018
0,925,1043.264000,168.820347,pallet_rotated,1,7.041745,6.386133,1.562956,2.056133,0.763656,0.063853
