# measure_pose_arrivals run2 moving, 60 s legs at 0.35 m/s, corrected instrument url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_m=0.2 moving_rad=0.15
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
0.0,True,,142487.8,78,32.9,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4878,,,,
0.116,True,,142574.3,78,12.0,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4583,,,,
0.2026,True,,142664.0,78,101.7,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4614,,,,
0.2951,True,,142765.9,78,2.5,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4708,,,,
0.3942,True,,142832.0,78,68.6,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4378,,,,
0.4606,True,,142909.5,78,54.0,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4489,,,,
0.5377,True,,142981.5,78,21.6,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4438,,,,
0.6099,True,,143055.3,78,95.4,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4454,,,,
0.6838,True,,143128.1,78,62.8,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4443,,,,
0.7567,True,,143202.6,78,39.6,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4459,,,,
0.8309,True,,143304.6,78,49.2,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4737,,,,
0.9349,True,,143425.9,78,37.8,5.456478721943723,13.099994050092496,-0.775899149555904,-142.491,,,,
1.0551,True,,143505.8,78,20.3,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4507,,,,
1.1345,True,,143588.3,78,10.4,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4538,,,,
1.2172,True,,143675.4,78,97.5,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4582,,,,
1.3051,True,,143766.2,78,81.7,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4611,,,,
1.3957,True,,143863.7,78,72.7,5.456478721943723,13.099994050092496,-0.775899149555904,-142.468,,,,
1.4945,True,,143961.4,78,70.4,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4669,,,,
1.621,True,,144082.8,78,88.7,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4618,,,,
1.7122,True,,144198.9,78,11.1,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4867,,,,
1.8282,True,,144284.8,78,5.5,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4566,,,,
1.9142,True,,144385.6,78,9.2,5.456478721943723,13.099994050092496,-0.775899149555904,-142.4714,,,,
