wall_utc,monotonic_s,active_sessions,BridgeHeartbeat,ConveyorBeltPosition,ConveyorBeltSpeed,ProductSensorRange,PanelStartPressed,PanelResetPressed,PanelStopCircuitClosed,PanelProcessStopCircuitClosed,ConveyorSpeedCommand,ForkliftForkHeight,ForkliftLinearSpeed,ForkliftObstacleInStopZone,ForkliftObstacleMinDistance,ForkliftTractionSpeedRef,ForkliftSteerAngleRef,ForkliftForkSpeedRef,HmiTractionRequest,HmiSteerRequest,HmiForkRequest,HmiTeleopRequest,HmiResetRequest,HmiHeartbeat
2026-07-29T06:16:39.128+00:00,130907.513,0,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0
2026-07-29T06:16:39.341+00:00,130907.727,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,58
2026-07-29T06:16:39.547+00:00,130907.932,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,60
2026-07-29T06:16:39.752+00:00,130908.138,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,62
2026-07-29T06:16:39.962+00:00,130908.347,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,64
2026-07-29T06:16:40.166+00:00,130908.552,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,66
2026-07-29T06:16:40.371+00:00,130908.757,2,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,68
2026-07-29T06:16:40.577+00:00,130908.963,2,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,70
2026-07-29T06:16:40.791+00:00,130909.176,2,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,72
2026-07-29T06:16:40.996+00:00,130909.382,2,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,74
2026-07-29T06:16:41.205+00:00,130909.59,2,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,76
2026-07-29T06:16:41.419+00:00,130909.805,2,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,78
2026-07-29T06:16:41.631+00:00,130910.017,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:41.841+00:00,130910.227,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:42.047+00:00,130910.432,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:42.252+00:00,130910.638,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:42.457+00:00,130910.842,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:42.661+00:00,130911.047,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:42.872+00:00,130911.258,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:43.077+00:00,130911.463,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:43.283+00:00,130911.669,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:43.495+00:00,130911.88,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:43.703+00:00,130912.088,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:43.909+00:00,130912.294,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:44.115+00:00,130912.5,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:44.325+00:00,130912.711,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:44.528+00:00,130912.914,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:44.734+00:00,130913.119,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
2026-07-29T06:16:44.942+00:00,130913.328,1,0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.3499999940395355,0.32749998569488525,0.0,True,False,79
