cycle,k,stamp,wall,regime,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,num_retries,dock_state,retry_joined,pallet_readback_ok,pallet_moved_m,countable,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_face_range_m,tag_lateral_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
0,0,99.266000,1.921733,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775446,1,,6,1731,0.977465,182,347,202,215,1.204014,0.094862,-0.001797,0,3,1,1,0.000000,1,0.071317,-0.000000,97.788000,1,,,,,,,,none,0,1,,1.204014,-0.001797,0.000002
0,1,99.464000,2.169174,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775446,1,,6,1726,0.980114,182,347,202,213,1.202179,0.080145,-0.000508,0,3,1,1,0.000000,1,0.051713,-0.000000,99.766000,1,,,,,,,,none,0,1,,1.202179,-0.000508,0.000002
0,2,99.596000,2.348035,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775446,1,,6,1732,0.974790,182,347,202,213,1.202389,0.080159,0.001289,0,3,1,1,0.000000,1,0.063841,-0.000000,99.892000,0,,,,,,,,none,0,1,,1.202389,0.001289,0.062857
0,3,99.860000,2.607765,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775446,1,,6,1731,0.977778,182,347,202,213,1.202487,0.080166,0.000267,0,3,1,1,0.000000,1,0.063289,-0.000000,100.150000,0,,,,,,,,none,0,1,,1.202487,0.000267,0.064216
0,4,100.124000,2.863468,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775446,1,,6,1731,0.974719,182,347,202,215,1.204156,0.094873,-0.000233,0,3,1,1,0.000000,1,0.067039,-0.000000,100.406000,0,,,,,,,,none,0,1,,1.204156,-0.000233,0.063336
0,5,100.388000,3.123421,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775446,1,,6,1726,0.977077,182,347,202,213,1.202571,0.080171,-0.001130,0,3,1,1,0.000000,1,0.062433,-0.000000,100.666000,0,,,,,,,,none,0,1,,1.202571,-0.001130,0.063324
0,6,100.652000,3.382545,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775446,1,,6,1730,0.974930,182,347,202,213,1.202575,0.080172,-0.003082,0,3,1,1,0.000000,1,0.064050,-0.000000,100.926000,0,,,,,,,,none,0,1,,1.202575,-0.003082,0.065862
0,7,100.916000,3.641750,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775446,1,,6,1731,0.974930,182,347,202,213,1.202675,0.080178,0.000358,0,3,1,1,0.000000,1,0.064759,-0.000000,101.184000,0,,,,,,,,none,0,1,,1.202675,0.000358,0.068227
0,8,101.180000,3.911158,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775462,1,,6,1733,0.977716,182,347,202,213,1.202514,0.080168,-0.000172,0,3,1,1,0.000000,1,0.059294,-0.000000,101.454000,0,,,,,,,,none,0,1,,1.202514,-0.000172,0.063667
0,9,101.378000,4.156981,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775788,1,,6,1738,0.967456,182,347,202,215,1.200666,0.094598,0.001062,0,3,1,1,0.000000,1,0.061456,-0.000000,101.700000,1,,,,,,,,none,0,1,,1.200666,0.001062,0.000002
0,10,101.576000,4.344296,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.775794,1,,6,1785,0.985591,180,345,204,215,1.193699,0.079580,0.002716,0,3,1,1,0.000000,1,0.060915,-0.000000,101.886000,1,,,,,,,,none,0,1,,1.193699,0.002716,0.000008
0,11,101.774000,4.533546,staging,none,0,7.000000,6.575185,1.570795,2.245185,0.776292,1,,6,1834,0.976119,176,343,204,217,1.197989,0.093257,0.009752,0,3,1,1,0.000000,1,0.055812,-0.000000,102.076000,1,,,,,,,,none,0,1,,1.197989,0.009752,0.000003
0,12,101.972000,4.715651,staging,none,0,7.000559,6.570908,1.569548,2.240908,0.776924,1,,6,1857,0.985673,172,343,206,219,1.212516,0.092180,0.015643,0,3,1,1,0.000000,1,0.059235,-0.000000,102.258000,0,,,,,,,,none,0,1,,1.212516,0.015643,0.060789
0,13,102.170000,4.955774,staging,none,0,7.001914,6.557562,1.566893,2.227562,0.777370,1,,5,1918,0.977901,168,341,208,221,1.208936,0.090845,0.020242,0,3,1,1,0.000000,1,0.063398,-0.000000,102.498000,1,,,,,,,,none,0,1,,1.208936,0.020242,0.000006
0,14,102.368000,5.149199,staging,none,0,7.004197,6.535724,1.562354,2.205724,0.777562,1,,5,2016,0.970822,164,339,210,225,1.204887,0.103276,0.024781,0,3,1,1,0.000000,1,0.054535,-0.000000,102.692000,1,,,,,,,,none,0,1,,1.204887,0.024781,0.000002
0,15,102.500000,5.317719,staging,none,0,7.005530,6.521625,1.559632,2.191625,0.777744,1,,5,2060,0.976684,160,339,212,227,1.218877,0.102141,0.029637,0,3,1,1,0.000000,1,0.062580,-0.000000,102.758000,0,,,,,,,,none,0,1,,1.218877,0.029637,0.067585
0,16,102.698000,5.583741,staging,none,0,7.008297,6.478117,1.553164,2.148117,0.777236,1,,5,2142,0.984772,156,337,216,229,1.211166,0.086990,0.031854,0,3,1,1,0.000000,1,0.063870,-0.000000,103.024000,1,,,,,,,,none,0,1,,1.211166,0.031854,0.000003
0,17,102.962000,5.792273,staging,none,0,7.009959,6.437445,1.548441,2.107445,0.774964,1,,5,2292,0.973430,152,339,220,233,1.220323,0.084835,0.029072,0,3,1,1,0.000000,1,0.066807,-0.000000,103.232000,0,,,,,,,,none,0,1,,1.220323,0.029072,0.068718
0,18,103.226000,6.059920,staging,none,0,7.012246,6.382263,1.541623,2.052263,0.772285,1,,5,2421,0.970874,150,339,224,237,1.200947,0.082605,0.026273,0,3,1,1,0.000000,1,0.062024,-0.000000,103.500000,0,,,,,,,,none,0,1,,1.200947,0.026273,0.068180
0,19,103.490000,6.324733,approach,none,0,7.011092,6.312344,1.539319,1.982344,0.769346,1,,5,2587,0.972851,146,341,228,243,1.206777,0.092829,0.027171,0,3,1,1,0.000000,1,0.063541,-0.000000,103.766000,0,,,,,,,,none,0,1,,1.206777,0.027171,0.067540
0,20,103.754000,6.592475,approach,none,0,7.007716,6.252353,1.541611,1.922353,0.766169,1,,5,2764,0.987013,140,343,234,249,1.224073,0.090449,0.022662,0,3,1,1,0.000000,1,0.060887,-0.000000,104.032000,0,,,,,,,,none,0,1,,1.224073,0.022662,0.063078
0,21,103.952000,6.839424,approach,none,0,7.005377,6.191392,1.542701,1.861392,0.763893,1,,5,2933,0.977688,138,343,238,253,1.209717,0.088516,0.024232,0,3,1,1,0.000000,1,0.057317,-0.000000,104.280000,1,,,,,,,,none,0,1,,1.209717,0.024232,0.000002
0,22,104.150000,7.016318,approach,none,0,7.003198,6.142229,1.544169,1.812229,0.761006,1,,5,3095,0.976879,134,345,242,259,1.219738,0.098273,0.021134,0,3,1,1,0.000000,1,0.059116,-0.000000,104.456000,1,,,,,,,,none,0,1,,1.219738,0.021134,0.000002
0,23,104.348000,7.192514,approach,none,0,7.001432,6.105210,1.545609,1.775210,0.757474,1,,5,3246,0.979554,132,347,246,263,1.214546,0.096034,0.015582,0,3,1,1,0.000000,1,0.060853,-0.000000,104.632000,0,,,,,,,,none,0,1,,1.214546,0.015582,0.068385
0,24,104.546000,7.434315,approach,none,0,6.998999,6.043314,1.547309,1.713314,0.754089,1,,5,3384,0.983364,130,349,252,267,1.210793,0.082931,0.008818,0,3,1,1,0.000000,1,0.055953,-0.000000,104.872000,1,,,,,,,,none,0,1,,1.210793,0.008818,0.000002
0,25,104.744000,7.602435,approach,none,0,6.997304,6.006114,1.548883,1.676114,0.751012,1,,5,3599,0.979853,130,353,256,271,1.202753,0.080903,0.000340,0,3,1,1,0.000000,1,0.060350,-0.000000,105.042000,0,,,,,,,,none,0,1,,1.202753,0.000340,0.056769
0,26,104.942000,7.829672,approach,none,0,6.992998,5.944176,1.554277,1.614176,0.749095,1,,5,3813,0.982175,128,357,262,277,1.208327,0.079148,-0.008154,0,3,1,1,0.000000,1,0.054320,-0.000000,105.268000,1,,,,,,,,none,0,1,,1.208327,-0.008154,0.000002
