wall_utc,EStopDemand,ZoneStopDemand,SafetyResetRequired,DriveModeActive,ModeApplied,MotionEnable,SpeedCeiling,TeleopActive,TractionSpeedRef,LinearSpeed,EquipmentPermit,ProcessStopActive,hmi_reset_req,hmi_teleop_req,hmi_traction_req,hmi_mode_req
2026-08-07T10:46:21.044+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:21.287+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:21.529+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:21.784+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:22.029+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:22.276+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:22.521+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:22.769+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:23.019+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:23.263+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:23.508+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:23.750+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:23.999+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:24.245+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:24.489+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:24.726+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:24.975+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:25.227+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:25.480+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:25.725+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,False,False,0.0,1
2026-08-07T10:46:25.967+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:26.223+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:26.475+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
2026-08-07T10:46:26.715+00:00,True,True,True,0,0,False,0.0,False,0.0,0.0,True,False,True,False,0.0,1
