case,expected,reason,exact,range_m,seed,t_classify_s
clean,none,none,1,2.245,0,0.05724080000072718
clean,none,none,1,2.245,1,0.07158169999456732
clean,none,none,1,2.245,2,0.07012119999853894
clean,none,none,1,2.245,3,0.04895160000160104
clean,none,none,1,2.245,4,0.04979080000339309
clean,none,none,1,2.245,5,0.06525849999889033
clean,none,none,1,2.245,6,0.06163419999938924
clean,none,none,1,2.245,7,0.05315800000244053
clean,none,none,1,2.245,8,0.060391200000594836
clean,none,none,1,2.245,9,0.049501000001328066
clean,none,none,1,1.5,0,0.061753300004056655
clean,none,none,1,1.5,1,0.0709805000005872
clean,none,none,1,1.5,2,0.050442599997040816
clean,none,none,1,1.5,3,0.056926500001281966
clean,none,none,1,1.5,4,0.05414059999748133
clean,none,none,1,1.5,5,0.06143530000554165
clean,none,none,1,1.5,6,0.050425300003553275
clean,none,none,1,1.5,7,0.052786500004003756
clean,none,none,1,1.5,8,0.06199130000459263
clean,none,none,1,1.5,9,0.07523110000329325
clean,none,none,1,1.0,0,0.055985300001339056
clean,none,none,1,1.0,1,0.059132900001714006
clean,none,none,1,1.0,2,0.05557609999959823
clean,none,none,1,1.0,3,0.06573070000013104
clean,none,none,1,1.0,4,0.060855800002173055
clean,none,none,1,1.0,5,0.060256299999309704
clean,none,none,1,1.0,6,0.07112950000009732
clean,none,none,1,1.0,7,0.05981679999968037
clean,none,none,1,1.0,8,0.05529419999948004
clean,none,none,1,1.0,9,0.06188320000364911
empty_bay,pallet_absent,pallet_absent,1,2.245,0,0.13222959999984596
empty_bay,pallet_absent,pallet_absent,1,2.245,1,0.17341830000077607
empty_bay,pallet_absent,pallet_absent,1,2.245,2,0.13410400000429945
empty_bay,pallet_absent,pallet_absent,1,2.245,3,0.14862649999849964
empty_bay,pallet_absent,pallet_absent,1,2.245,4,0.15379959999700077
empty_bay,pallet_absent,pallet_absent,1,2.245,5,0.17871849999937695
empty_bay,pallet_absent,pallet_absent,1,2.245,6,0.16281249999883585
empty_bay,pallet_absent,pallet_absent,1,2.245,7,0.1948774000047706
empty_bay,pallet_absent,pallet_absent,1,2.245,8,0.17633000000205357
empty_bay,pallet_absent,pallet_absent,1,2.245,9,0.15429809999477584
empty_bay,pallet_absent,pallet_absent,1,1.5,0,0.1439632999972673
empty_bay,pallet_absent,pallet_absent,1,1.5,1,0.1382339999981923
empty_bay,pallet_absent,pallet_absent,1,1.5,2,0.14612100000522332
empty_bay,pallet_absent,pallet_absent,1,1.5,3,0.13776630000211298
empty_bay,pallet_absent,pallet_absent,1,1.5,4,0.15266280000651022
empty_bay,pallet_absent,pallet_absent,1,1.5,5,0.1490976999994018
empty_bay,pallet_absent,pallet_absent,1,1.5,6,0.15801959999953397
empty_bay,pallet_absent,pallet_absent,1,1.5,7,0.18094250000285683
empty_bay,pallet_absent,pallet_absent,1,1.5,8,0.147273700000369
empty_bay,pallet_absent,pallet_absent,1,1.5,9,0.14335700000083307
empty_bay,pallet_absent,pallet_absent,1,1.0,0,0.20248909999645548
empty_bay,pallet_absent,pallet_absent,1,1.0,1,0.1527127000008477
empty_bay,pallet_absent,pallet_absent,1,1.0,2,0.16911280000203988
empty_bay,pallet_absent,pallet_absent,1,1.0,3,0.19157729999278672
empty_bay,pallet_absent,pallet_absent,1,1.0,4,0.14847739999822807
empty_bay,pallet_absent,pallet_absent,1,1.0,5,0.1629867000010563
empty_bay,pallet_absent,pallet_absent,1,1.0,6,0.21793679999973392
empty_bay,pallet_absent,pallet_absent,1,1.0,7,0.1954794999983278
empty_bay,pallet_absent,pallet_absent,1,1.0,8,0.20121049999579554
empty_bay,pallet_absent,pallet_absent,1,1.0,9,0.15043270000023767
